Departure_IATA,Arrival_IATA,Airline_IATA,Flight_Date,Flight_Number
SYD,X241,ME,2025-10-02,ME5386
X232,X175,MU,2025-07-31,MU1178
X138,X180,CZ,2025-10-18,CZ7046
X108,CGK,TU,2025-03-01,TU7634
X233,X344,AM,2025-04-14,AM9102
SCL,X293,Y4,2025-11-12,Y47328
X323,X099,VB,2025-10-05,VB8228
X177,X142,IB,2025-02-01,IB9742
MXP,X133,ET,2025-02-11,ET1240
X262,X103,PR,2025-12-27,PR7815
X334,X123,AH,2025-12-26,AH3223
X238,HAJ,AH,2025-01-07,AH4888
X199,X269,AY,2025-12-15,AY1472
X141,X326,A3,2025-08-26,A38913
X331,X116,BT,2025-10-31,BT9918
X111,X245,AA,2025-12-12,AA5293
KIN,ATL,AA,2025-05-09,AA1216
X344,GRU,PC,2025-08-16,PC2821
X154,X261,UA,2025-07-01,UA3067
X324,LIS,GF,2025-11-05,GF9606
X138,MBJ,PC,2025-07-18,PC6360
X244,BKK,CA,2025-02-06,CA5255
X287,X286,F9,2025-05-17,F92568
X255,X248,JT,2025-06-13,JT2802
X211,CPH,AT,2025-12-13,AT2833
X135,X192,IB,2025-04-17,IB2526
LYS,VIE,AV,2025-01-23,AV8729
X242,X157,CA,2025-08-11,CA4089
NUE,X124,MK,2025-09-02,MK2368
VIE,X102,KL,2025-03-24,KL643
BSL,NCL,KC,2025-10-26,KC5121
X222,X228,Y4,2025-07-04,Y46016
X231,AKL,UL,2025-04-08,UL5611
X338,MEX,RJ,2025-07-17,RJ6119
X259,HAV,SK,2025-06-09,SK5385
SAL,KIN,VN,2025-01-21,VN2738
X341,X299,AR,2025-09-14,AR3303
MEX,KEF,KE,2025-11-23,KE5127
X212,X228,SA,2025-10-07,SA4984
CGK,X267,LX,2025-09-11,LX2942
X347,X131,U2,2025-06-04,U22813
PUJ,X170,KU,2025-10-03,KU9631
X209,X140,KM,2025-08-29,KM6048
X196,HAV,ET,2025-10-24,ET8332
X324,NCE,HY,2025-09-11,HY2825
X248,X234,TP,2025-05-31,TP4143
X183,CDG,JT,2025-06-19,JT2996
DEL,X151,H2,2025-08-26,H27870
X148,LPL,AI,2025-07-05,AI1088
X253,LEJ,JA,2025-02-09,JA4195
X249,X282,QR,2025-06-10,QR2231
IST,BUD,FI,2025-12-01,FI9795
X124,SYD,FR,2025-09-12,FR4469
X179,X343,G3,2025-02-07,G32270
X259,MXP,MH,2025-10-30,MH7123
X243,X179,CA,2025-04-22,CA1062
X242,X327,SQ,2025-12-17,SQ2825
SDQ,X229,AS,2025-06-21,AS9732
LYS,MEX,LO,2025-02-21,LO9144
X315,HAJ,JU,2025-08-26,JU1795
CHC,X335,DT,2025-08-16,DT9845
X190,X252,EW,2025-01-09,EW9861
SGN,HAN,KE,2025-10-28,KE133
LHR,X287,AF,2025-05-11,AF6730
HND,X100,U2,2025-11-07,U23512
X215,X185,JU,2025-09-01,JU3408
HEL,CDG,G3,2025-10-31,G31446
X160,X197,KM,2025-03-05,KM814
X131,HAM,GA,2025-09-25,GA4300
CWL,X202,FI,2025-11-21,FI7407
X346,X259,OS,2025-10-23,OS2559
X337,X193,SQ,2025-02-01,SQ8490
X234,CPT,VS,2025-12-05,VS4565
X177,X150,JU,2025-10-20,JU6686
X329,X197,KE,2025-12-25,KE6055
X314,X103,SQ,2025-02-26,SQ4888
X138,LIS,UL,2025-06-02,UL4630
X106,X232,VS,2025-04-28,VS304
X298,X282,SQ,2025-12-13,SQ3866
ATH,X198,QH,2025-06-02,QH6697
X253,X115,JL,2025-06-27,JL6517
X170,X333,DL,2025-04-17,DL1017
CAI,X342,NK,2025-03-25,NK3668
X162,X288,WN,2025-12-19,WN4087
POS,X178,KC,2025-11-04,KC9334
X147,X307,RJ,2025-06-20,RJ4142
X284,X228,DL,2025-01-03,DL366
X125,X204,LX,2025-07-09,LX3718
GUA,X216,HX,2025-07-19,HX9201
X201,CDG,SA,2025-07-21,SA3643
X341,OSL,UL,2025-07-21,UL6161
LIS,DEN,PR,2025-04-03,PR5536
X349,SDQ,VY,2025-08-11,VY4263
X213,X335,KQ,2025-03-25,KQ4962
VIE,X168,AR,2025-06-19,AR6785
X275,MXP,BT,2025-02-09,BT5883
ATH,X137,IB,2025-02-04,IB7222
X181,MNL,EK,2025-08-19,EK3325
X218,X235,JU,2025-12-26,JU3459
X256,X333,AF,2025-01-26,AF349
ARN,X340,PC,2025-10-18,PC7053
X132,HEL,KE,2025-10-04,KE8574
X302,X271,SK,2025-01-12,SK6223
MEX,X318,VN,2025-07-06,VN2455
X322,X108,KC,2025-08-22,KC805
X107,X214,AY,2025-06-10,AY1181
X168,BCN,EW,2025-10-21,EW8718
KIN,X233,HX,2025-08-02,HX5833
X219,AMS,RO,2025-09-19,RO3479
MEL,X136,KM,2025-07-08,KM6397
HAJ,X156,KU,2025-03-19,KU3922
X290,X225,TP,2025-12-31,TP4787
X102,X347,BT,2025-05-07,BT6067
X335,X219,AI,2025-06-14,AI6105
X201,X270,LH,2025-09-09,LH3376
X205,MUC,LA,2025-04-14,LA2022
X311,X148,MK,2025-01-26,MK2634
X255,X327,CX,2025-02-27,CX4799
EDI,HAV,UL,2025-04-27,UL6562
X342,X143,KE,2025-05-26,KE8260
X296,X151,FR,2025-07-31,FR8934
PRG,X147,SA,2025-10-09,SA198
BRU,X320,AF,2025-03-28,AF9260
X336,X131,KM,2025-09-25,KM5291
X146,X207,LO,2025-09-14,LO758
X314,X236,JU,2025-11-22,JU9996
X142,X205,VN,2025-01-20,VN7144
HEL,X237,ET,2025-02-23,ET3143
X330,X127,OZ,2025-02-17,OZ6520
X316,X264,AD,2025-03-24,AD4065
X318,HAJ,RO,2025-08-06,RO2762
SAL,X227,J2,2025-01-07,J29369
X222,X216,UA,2025-03-01,UA6762
X235,X190,LA,2025-01-01,LA8059
X255,X175,JL,2025-05-30,JL4859
SGN,X165,OS,2025-05-03,OS6703
X200,X226,AR,2025-09-22,AR742
SAL,X120,FZ,2025-12-12,FZ8207
X342,X231,NK,2025-02-02,NK8321
EDI,X230,NK,2025-02-20,NK3204
X107,X239,UA,2025-05-27,UA4138
X279,X206,CA,2025-12-22,CA3804
X241,X099,WB,2025-05-28,WB6788
X187,X278,KE,2025-04-30,KE6713
FCO,X295,TU,2025-12-29,TU2757
BRU,X198,AD,2025-04-18,AD341
DUB,NBO,KE,2025-01-19,KE3721
X133,X231,KU,2025-06-19,KU2380
X212,X269,B6,2025-05-19,B63628
X099,X328,TS,2025-12-26,TS1500
X288,X198,JT,2025-04-06,JT6707
X229,X224,UL,2025-05-31,UL3298
X121,ATL,LX,2025-02-14,LX854
CHC,X162,KE,2025-11-05,KE4546
OSL,X127,FR,2025-06-10,FR9846
HAM,X117,LX,2025-04-15,LX6893
LEJ,X111,VY,2025-02-22,VY1448
SIN,X278,TP,2025-05-19,TP4680
SCL,NAS,6E,2025-01-23,6E869
X182,X329,GA,2025-12-18,GA5813
PEK,X342,NH,2025-12-19,NH6552
NTE,X170,HU,2025-08-07,HU4366
X114,LIS,BT,2025-06-01,BT2320
X216,X254,AD,2025-06-15,AD3485
X176,GIG,U2,2025-11-14,U29294
BCN,X253,LO,2025-10-20,LO8060
X109,X272,ET,2025-03-03,ET2098
SGN,OSL,ME,2025-03-08,ME4982
X328,X347,EY,2025-12-13,EY4896
BUD,X314,TU,2025-10-16,TU8408
X254,LHR,OS,2025-06-29,OS4699
X241,X242,DT,2025-01-13,DT5818
X305,X289,AV,2025-01-21,AV7053
X331,X260,RJ,2025-08-22,RJ132
X258,X323,KU,2025-12-10,KU3380
X312,X187,W6,2025-01-21,W69722
X227,NCL,GF,2025-04-25,GF9594
CGN,X105,VY,2025-05-23,VY1404
X323,X260,ET,2025-09-07,ET3223
X262,X145,RO,2025-05-27,RO8256
X217,GLA,FI,2025-11-22,FI4898
X196,X238,EY,2025-06-08,EY4216
DFW,X216,KL,2025-01-13,KL5475
CGN,X294,AR,2025-06-12,AR7683
X260,X115,WB,2025-04-21,WB3742
YYZ,X302,CX,2025-03-11,CX8526
X100,X233,TU,2025-01-12,TU1773
X159,ORD,TK,2025-05-04,TK6978
X205,X242,MU,2025-03-13,MU8356
DUS,X157,FJ,2025-08-01,FJ3000
X176,VIE,OS,2025-02-25,OS8055
X103,X108,GA,2025-03-23,GA9162
X300,X333,VY,2025-02-27,VY3284
X298,X206,HY,2025-01-24,HY6210
BCN,X166,6E,2025-02-27,6E7737
STR,X125,JA,2025-11-15,JA5795
CPH,X347,EW,2025-06-22,EW6672
X130,X309,DL,2025-04-04,DL4746
PEK,X161,UL,2025-05-10,UL1375
X268,BSL,MK,2025-04-12,MK4967
X333,X182,SK,2025-06-06,SK5481
X342,CHC,OS,2025-11-25,OS4025
SYD,X314,TU,2025-04-23,TU8147
BOD,X179,VN,2025-07-12,VN6127
DUB,MAN,AM,2025-04-18,AM4030
X123,X282,KE,2025-02-22,KE6470
X102,X137,UA,2025-02-14,UA6293
MNL,X181,QF,2025-06-12,QF8684
X252,X321,EI,2025-06-05,EI7099
X290,X174,VA,2025-05-07,VA7681
X285,X238,SA,2025-10-23,SA6990
X259,X222,MS,2025-02-25,MS6489
BUD,X282,6E,2025-12-11,6E2232
X123,DXB,BA,2025-12-18,BA4801
X128,X313,OB,2025-05-18,OB6149
X237,EZE,EW,2025-01-17,EW6557
X307,X263,NH,2025-02-12,NH6217
X227,HAJ,EW,2025-01-14,EW4835
PEK,X104,MU,2025-11-15,MU8001
X145,X170,UA,2025-08-27,UA9924
X210,X294,TP,2025-10-31,TP3733
SCL,NCL,WN,2025-05-11,WN6875
GRU,X164,AI,2025-03-23,AI5552
DXB,CDG,LX,2025-12-16,LX3471
X201,X196,AA,2025-11-08,AA6489
X195,X248,FJ,2025-06-21,FJ4844
X238,X274,OB,2025-09-10,OB7641
X288,PEK,KQ,2025-04-24,KQ2241
X173,X249,ME,2025-08-03,ME5403
X199,X133,FJ,2025-03-04,FJ1040
X293,X170,DL,2025-11-14,DL7274
X252,GVA,SV,2025-11-14,SV3109
X130,X225,QH,2025-06-13,QH9665
X317,BHX,EY,2025-06-13,EY6408
X246,X222,WN,2025-07-08,WN5735
X149,SCL,AF,2025-01-21,AF7011
X176,MBJ,FI,2025-03-21,FI200
X213,X117,RJ,2025-12-05,RJ6661
BRS,LPL,F9,2025-01-26,F95398
BOD,X164,OS,2025-01-05,OS8328
X214,X173,DT,2025-08-27,DT1949
X210,X343,KU,2025-12-20,KU5428
HAN,X249,TR,2025-06-22,TR4275
X210,CPH,W6,2025-09-13,W62321
X213,X245,AF,2025-01-27,AF4912
X344,GLA,IB,2025-11-28,IB3780
EDI,X241,MU,2025-03-05,MU6262
X138,X202,AF,2025-02-24,AF4393
X223,X298,6E,2025-12-12,6E4253
EZE,X320,QH,2025-02-19,QH1493
X212,MRS,OS,2025-06-26,OS3546
MUC,X265,NK,2025-07-08,NK2609
X212,X138,AM,2025-12-15,AM465
X284,X201,AS,2025-09-04,AS3078
X144,X272,DT,2025-03-29,DT8960
X191,MEL,AF,2025-08-30,AF8275
X261,CDG,AD,2025-11-25,AD2136
ARN,SDQ,SV,2025-06-12,SV4074
X201,GRU,HU,2025-04-16,HU2387
KIN,X237,HY,2025-11-24,HY9209
DUS,X197,LA,2025-03-27,LA4075
X315,LHR,GF,2025-12-06,GF5968
X208,X134,KQ,2025-10-30,KQ1646
X251,BSL,FI,2025-07-25,FI7604
X318,GUA,TP,2025-08-16,TP3802
X278,X123,UK,2025-10-31,UK7481
POS,X205,SV,2025-10-26,SV4428
X120,X233,AD,2025-05-09,AD6697
NCE,X276,VS,2025-04-16,VS3267
X287,X309,EY,2025-08-29,EY4735
X179,X289,KQ,2025-12-17,KQ2255
FRA,X119,ET,2025-03-18,ET2236
CGK,POS,QF,2025-04-08,QF7470
X324,X181,OS,2025-11-18,OS7236
X144,X203,AM,2025-04-07,AM6582
BRS,MXP,QR,2025-03-16,QR6860
X183,X265,AD,2025-11-22,AD3435
X313,X336,VY,2025-03-25,VY8567
X214,X164,6E,2025-03-01,6E7844
CGK,X303,JA,2025-07-08,JA3664
X337,X145,LX,2025-03-24,LX7454
X133,X217,ET,2025-07-31,ET1791
X270,BSB,VS,2025-11-21,VS8286
NBO,X268,EW,2025-06-19,EW9783
X258,X315,VS,2025-09-19,VS6385
X197,CDG,UK,2025-04-10,UK6147
DXB,X308,A3,2025-09-01,A32420
X141,X105,AD,2025-08-14,AD2095
X156,X281,SA,2025-11-28,SA3608
X176,X244,ET,2025-01-07,ET9960
X146,X241,OZ,2025-05-25,OZ9708
X219,X350,WS,2025-01-03,WS6603
X263,X199,DL,2025-01-21,DL2836
X263,X159,TG,2025-06-30,TG4923
SYD,X252,ME,2025-03-17,ME5370
X212,X159,OS,2025-08-01,OS3071
X135,X123,KC,2025-05-08,KC6612
X232,NBO,RJ,2025-04-16,RJ3163
X147,X288,U2,2025-07-19,U27661
X328,MBJ,MK,2025-11-12,MK9276
DUS,MAD,HU,2025-10-08,HU2697
X171,LIS,FR,2025-12-22,FR1826
X313,X119,SV,2025-10-03,SV5644
X262,X105,AH,2025-05-06,AH9565
X245,X196,LA,2025-01-23,LA6646
SGN,EDI,CX,2025-08-04,CX908
X119,X298,ME,2025-02-09,ME8283
HEL,X274,FR,2025-01-09,FR4554
X113,X277,MK,2025-08-23,MK7735
X112,X298,ET,2025-02-03,ET177
X308,X267,FI,2025-07-05,FI4427
X347,X141,EY,2025-10-04,EY647
X302,X211,DT,2025-07-17,DT8752
X198,NUE,KE,2025-12-09,KE9784
X100,AKL,EK,2025-03-28,EK1413
GIG,BRS,WN,2025-06-25,WN7764
X339,X147,AH,2025-06-28,AH1800
X106,X281,QF,2025-05-22,QF7037
X254,X290,CX,2025-11-08,CX3355
X257,X108,ME,2025-03-24,ME2482
X272,X248,LH,2025-01-04,LH9877
LHR,X327,DL,2025-01-03,DL8005
X211,X195,ME,2025-05-07,ME369
X316,X307,GF,2025-11-01,GF9505
X108,X332,AF,2025-10-16,AF6185
X201,LIS,TP,2025-10-14,TP4996
X160,X313,F9,2025-02-01,F99051
X321,X233,H2,2025-04-07,H2396
X251,X164,AR,2025-05-19,AR7731
X212,X205,EK,2025-08-14,EK4525
X135,FRA,OS,2025-05-03,OS1751
CWL,X333,VA,2025-04-21,VA6236
X323,X147,ET,2025-09-01,ET6051
X183,SJO,SV,2025-07-21,SV9076
X325,X240,KC,2025-01-10,KC624
LBA,X210,JL,2025-10-06,JL3991
X324,MXP,AF,2025-11-11,AF5078
X172,CWL,TK,2025-06-26,TK5872
X268,BUD,EW,2025-10-18,EW3754
BUD,ATL,DL,2025-11-25,DL8041
SGN,X115,NK,2025-05-29,NK1932
X294,X284,AV,2025-10-24,AV9771
X314,X159,NH,2025-10-08,NH4310
X144,X189,LH,2025-06-25,LH6503
X221,X131,PX,2025-10-14,PX5621
MUC,X301,JL,2025-09-15,JL7037
X110,X197,OB,2025-02-19,OB2459
NCL,X166,RO,2025-08-31,RO9821
BOD,BOG,AH,2025-08-16,AH8427
X174,X170,UL,2025-10-12,UL6449
NCE,X234,G3,2025-04-02,G37347
X144,X146,W6,2025-01-25,W69433
X348,SGN,RJ,2025-08-06,RJ768
X292,X151,AA,2025-05-20,AA9299
MAD,X321,AY,2025-01-21,AY5320
X186,X205,TK,2025-07-22,TK2671
LBA,X155,EK,2025-08-20,EK1018
X141,X176,UL,2025-01-23,UL5378
X337,X250,WN,2025-11-19,WN9480
X187,WAW,JA,2025-07-22,JA2653
X332,X153,FZ,2025-06-29,FZ528
X199,X210,OB,2025-11-09,OB1760
SAL,X185,MH,2025-12-07,MH7711
X138,BUD,SV,2025-11-20,SV6044
X099,X167,AD,2025-07-03,AD3163
X230,SGN,HY,2025-04-05,HY2059
X279,X130,AH,2025-01-28,AH876
X217,X149,VY,2025-06-16,VY9912
X309,LYS,KC,2025-02-10,KC9319
X296,WAW,MU,2025-12-06,MU5167
X316,X323,KL,2025-07-08,KL3992
DOH,ZRH,AR,2025-12-28,AR6006
X330,X216,TU,2025-02-20,TU8534
X115,MNL,AM,2025-08-02,AM4768
PTY,X250,WN,2025-11-22,WN1072
X348,X210,U2,2025-10-06,U27606
X196,X219,TK,2025-11-20,TK1550
X235,X257,WB,2025-05-27,WB7430
X161,X320,AM,2025-03-23,AM3248
X112,GLA,JL,2025-11-28,JL2152
X335,X294,MK,2025-04-21,MK3528
X326,X336,IB,2025-10-25,IB2103
X216,X246,ET,2025-05-30,ET3999
X162,LIM,UA,2025-03-17,UA9867
X347,X172,JL,2025-10-21,JL5829
DXB,X251,MH,2025-06-11,MH9844
X349,GIG,AH,2025-08-23,AH9606
X277,X216,AT,2025-09-09,AT1477
X221,BHX,FI,2025-10-28,FI6096
X341,X176,HU,2025-02-17,HU2949
BRU,X331,PR,2025-02-12,PR269
SYD,X253,KU,2025-01-04,KU9888
X155,X319,LH,2025-03-11,LH2896
X156,LEJ,MK,2025-11-08,MK2882
BRU,X303,TG,2025-11-03,TG7223
X274,X316,VA,2025-08-15,VA5937
X314,X165,AS,2025-05-04,AS4063
X274,PTY,U2,2025-08-03,U28570
X156,ARN,QR,2025-03-11,QR8599
X290,X283,AV,2025-07-24,AV3521
X143,BOM,VN,2025-09-27,VN4705
X153,X274,SK,2025-05-29,SK2029
AMS,X101,AC,2025-03-25,AC9638
X295,X113,JT,2025-09-23,JT4044
X178,MEX,ET,2025-05-19,ET9505
GUA,X269,KE,2025-08-20,KE9222
DXB,X345,AD,2025-02-18,AD9602
X343,HAM,JU,2025-05-04,JU7648
X300,X118,TG,2025-05-13,TG385
X164,X301,LH,2025-02-07,LH5898
X146,X246,DT,2025-06-17,DT4684
TLS,X345,OS,2025-08-13,OS2633
X122,X132,IB,2025-01-07,IB159
X216,FRA,MH,2025-10-20,MH541
DXB,X269,WB,2025-12-02,WB2072
X173,MXP,W6,2025-07-05,W62837
X346,X243,GF,2025-08-17,GF9450
X233,HAJ,KC,2025-10-09,KC3820
X230,X174,PC,2025-12-28,PC4506
X177,X267,SG,2025-07-09,SG4381
X302,X204,KQ,2025-06-23,KQ6152
X300,X139,ET,2025-10-19,ET5357
CWL,CPH,JU,2025-05-05,JU8899
X245,X212,TU,2025-10-03,TU5809
X238,CGK,SA,2025-11-10,SA2865
X269,X227,SG,2025-10-27,SG8758
X228,DUB,KQ,2025-11-21,KQ5159
X302,X244,DL,2025-03-01,DL5595
X274,DUS,LX,2025-07-02,LX1091
ICN,X111,SA,2025-02-19,SA2334
X114,X255,KQ,2025-08-18,KQ6194
X277,X306,FR,2025-04-11,FR8500
X265,X276,6E,2025-08-02,6E8772
X310,X136,AR,2025-10-17,AR3385
X225,X320,KM,2025-12-12,KM3006
X320,GLA,KM,2025-10-28,KM6229
BCN,X232,F9,2025-02-09,F91444
X180,X253,FZ,2025-04-24,FZ7597
CGK,X253,H2,2025-01-02,H23664
X196,X157,FJ,2025-12-18,FJ5707
X321,HKG,SA,2025-09-09,SA5865
X247,LYS,TG,2025-06-11,TG6933
X171,X147,SQ,2025-08-20,SQ7859
X285,X154,QR,2025-12-26,QR3909
HND,ATH,CZ,2025-03-14,CZ9177
SAL,X243,QR,2025-03-22,QR2745
X187,X323,KQ,2025-03-21,KQ3060
X328,X308,KQ,2025-08-25,KQ9789
MEL,X205,TP,2025-11-18,TP5168
X311,ICN,TU,2025-11-19,TU4873
X196,X219,OZ,2025-03-05,OZ2759
X110,GVA,J2,2025-07-05,J23134
HAN,X318,KM,2025-04-18,KM3527
X113,X192,LX,2025-05-22,LX9678
X330,X173,SA,2025-03-12,SA7100
ATH,X250,GA,2025-04-28,GA5524
X214,X139,VY,2025-09-20,VY9272
CHC,X156,CA,2025-07-04,CA5830
X270,X123,EK,2025-01-29,EK9819
X105,MBJ,IB,2025-04-30,IB5236
X163,HAN,AM,2025-06-14,AM2615
BOM,X309,VA,2025-05-11,VA309
X187,X204,MH,2025-12-12,MH9355
BOG,BSB,KE,2025-07-25,KE698
X100,X206,CX,2025-02-28,CX7273
X177,X165,Y4,2025-03-12,Y49132
GLA,X185,CX,2025-01-08,CX2729
X119,X347,PC,2025-04-28,PC2236
SJO,MNL,BT,2025-04-07,BT3921
