flightnumber,DepartureIATA,ArrivalIATA,AirlineIATA,flightdate
GF538791,BSB,HEL,GF,2023-01-12
PX192236,HAM,MEX,PX,2023-01-12
LA412258,GLA,MEX,LA,2023-01-12
G3395288,EZE,SAL,G3,2023-01-12
RO237984,HEL,FCO,RO,2023-01-12
RJ240753,CPT,CHC,RJ,2023-01-12
JA063328,WLG,DUB,JA,2023-01-12
OB849730,BHX,BSB,OB,2023-01-12
GA359832,YYZ,NBO,GA,2023-01-12
KU734722,GVA,ATL,KU,2023-01-12
WY513121,CHC,BRS,WY,2023-01-12
AS055209,EDI,BFS,AS,2023-01-12
JA296299,CAI,BRS,JA,2023-01-12
SA547282,AKL,PEK,SA,2023-01-12
AM098963,BOG,GVA,AM,2023-01-12
AS982987,AKL,EZE,AS,2023-01-12
VA370912,STR,ATL,VA,2023-01-12
OZ707082,SGN,LHR,OZ,2023-01-13
VB542079,ICN,MEL,VB,2023-01-13
WB699529,MUC,BRU,WB,2023-01-13
FI402713,CWL,HAV,FI,2023-01-13
AV275031,YYZ,PRG,AV,2023-01-13
RJ781417,HKG,FCO,RJ,2023-01-13
MS453791,DUS,CGK,MS,2023-01-13
MU858261,WAW,SIN,MU,2023-01-13
KM260703,SAL,BER,KM,2023-01-13
CX099156,LYS,ICN,CX,2023-01-13
FJ709474,BCN,BRU,FJ,2023-01-13
G3747990,LIS,GIG,G3,2023-01-13
BA961838,MNL,BHX,BA,2023-01-13
W6975546,CHC,SGN,W6,2023-01-13
PR764223,HKG,MNL,PR,2023-01-13
WN482938,YYZ,HEL,WN,2023-01-13
LA686162,OSL,ICN,LA,2023-01-13
AF500766,HEL,CHC,AF,2023-01-13
CX919315,HAM,SCL,CX,2023-01-14
HY395234,BOG,MBJ,HY,2023-01-14
TU480053,CWL,SCL,TU,2023-01-14
JL814473,MAN,MEL,JL,2023-01-14
OS476177,BHX,LEJ,OS,2023-01-14
JT264807,YYZ,LIM,JT,2023-01-14
CA534600,DFW,HAM,CA,2023-01-14
NZ342257,BCN,MRS,NZ,2023-01-14
FI762590,BRU,CAI,FI,2023-01-14
MU199897,MAN,LIS,MU,2023-01-14
TK912671,YYZ,FRA,TK,2023-01-14
AR240226,DUB,LYS,AR,2023-01-14
MK397521,HND,SAL,MK,2023-01-14
JU450460,EZE,BSB,JU,2023-01-14
AV975736,STR,BOG,AV,2023-01-14
AA507456,HEL,HND,AA,2023-01-14
OZ313846,ARN,FRA,OZ,2023-01-14
WY325393,HEL,HKG,WY,2023-01-14
FR849387,GVA,CDG,FR,2023-01-14
FJ364438,HKG,IST,FJ,2023-01-14
CA790507,MXP,VIE,CA,2023-01-14
TU392729,MAD,WAW,TU,2023-01-15
GA224689,WAW,DEN,GA,2023-01-15
HY593117,NAS,GUA,HY,2023-01-15
OZ588968,YYZ,BOG,OZ,2023-01-15
MK000518,FCO,LAX,MK,2023-01-15
NZ972346,SDQ,FCO,NZ,2023-01-15
GA467652,IST,CGN,GA,2023-01-15
UA909796,GVA,BOG,UA,2023-01-15
OZ511471,IST,GVA,OZ,2023-01-15
JU797879,BFS,DEL,JU,2023-01-15
PX563523,BUD,CPT,PX,2023-01-15
AV447337,CWL,OSL,AV,2023-01-15
F9232623,YYZ,DXB,F9,2023-01-15
J2362562,ICN,ORD,J2,2023-01-15
FR275640,WAW,WLG,FR,2023-01-15
W6897375,OSL,MAD,W6,2023-01-15
TG325584,HAJ,ZRH,TG,2023-01-15
HU760217,BOM,LBA,HU,2023-01-15
RJ914388,DFW,DEL,RJ,2023-01-15
J2628439,ZRH,SGN,J2,2023-01-15
HU031052,MAN,STR,HU,2023-01-15
KU288781,DEL,MNL,KU,2023-01-15
BT911606,GVA,MEX,BT,2023-01-15
WN196194,LBA,SIN,WN,2023-01-15
WY496738,BRU,WAW,WY,2023-01-16
KU620923,SIN,HND,KU,2023-01-16
QR075017,CHC,AMS,QR,2023-01-16
VS935937,BSL,HAV,VS,2023-01-16
QH118910,CGN,ZRH,QH,2023-01-16
VB009442,NAS,WLG,VB,2023-01-16
VS481591,MEL,OSL,VS,2023-01-16
WN183637,ATH,DOH,WN,2023-01-16
ET095199,LEJ,HKG,ET,2023-01-16
VS526435,CWL,SGN,VS,2023-01-16
MH474664,FRA,HEL,MH,2023-01-16
NH492263,BRU,LIS,NH,2023-01-16
MK450881,BSB,MRS,MK,2023-01-16
SQ861814,MNL,CGN,SQ,2023-01-16
EW786891,DUS,HND,EW,2023-01-16
HU440376,NUE,GUA,HU,2023-01-16
TR461817,HAJ,BRU,TR,2023-01-16
AD392278,LHR,JNB,AD,2023-01-16
RO638075,ATL,SDQ,RO,2023-01-17
DT601996,STR,HND,DT,2023-01-17
U2922901,BRU,PTY,U2,2023-01-17
UL809940,GRU,CAI,UL,2023-01-17
AM522049,HAV,SDQ,AM,2023-01-17
TG310959,BSL,MRS,TG,2023-01-17
CA301320,NCE,BSL,CA,2023-01-17
JL721445,MAN,SAL,JL,2023-01-17
KL945148,ATL,BER,KL,2023-01-17
OZ929339,SDQ,MUC,OZ,2023-01-17
6E746720,SAL,LAX,6E,2023-01-17
TS401661,CDG,PRG,TS,2023-01-17
AM881469,CAI,PTY,AM,2023-01-17
TK421766,HAN,NBO,TK,2023-01-17
RJ929932,SJO,HAJ,RJ,2023-01-17
LX288393,POS,NUE,LX,2023-01-17
DL069931,STR,POS,DL,2023-01-17
PR378592,HND,CGN,PR,2023-01-17
UA754596,GLA,NAS,UA,2023-01-17
VY255254,WAW,EDI,VY,2023-01-17
MU214538,DUS,BRU,MU,2023-01-17
KQ693540,GIG,MAD,KQ,2023-01-17
LX881547,WLG,PEK,LX,2023-01-17
EW437945,BHX,FCO,EW,2023-01-17
F9307712,DXB,BKK,F9,2023-01-17
CX326546,DXB,HAJ,CX,2023-01-17
AF316044,DEL,MUC,AF,2023-01-17
VB246680,OSL,DOH,VB,2023-01-17
MU659995,CAI,CPH,MU,2023-01-17
NZ752328,DFW,NUE,NZ,2023-01-17
TR019766,NUE,MAN,TR,2023-01-17
6E233174,PRG,DEL,6E,2023-01-17
KE468678,CDG,MEL,KE,2023-01-18
OS599426,HND,KIN,OS,2023-01-18
KM555793,CHC,LYS,KM,2023-01-18
JT097324,LIM,MRS,JT,2023-01-18
AH512051,JNB,AKL,AH,2023-01-18
NH754573,HAV,FCO,NH,2023-01-18
HY392927,MRS,GLA,HY,2023-01-18
GF734146,HAV,MNL,GF,2023-01-18
U2633149,SDQ,HKG,U2,2023-01-18
PC932779,HKG,SAL,PC,2023-01-18
J2006459,ATH,WLG,J2,2023-01-18
ET826611,CAI,SDQ,ET,2023-01-18
LA656676,CWL,GIG,LA,2023-01-18
IB743994,SYD,DOH,IB,2023-01-18
FI343815,DEL,POS,FI,2023-01-18
TG728874,BRU,KEF,TG,2023-01-18
AM442562,NCE,PEK,AM,2023-01-18
MU723113,ATL,BOM,MU,2023-01-19
JU371034,ZRH,EDI,JU,2023-01-19
Y4674750,FRA,PEK,Y4,2023-01-19
VS335573,NCL,HKG,VS,2023-01-19
G3850520,SIN,BER,G3,2023-01-19
RJ146863,MRS,GIG,RJ,2023-01-19
NH993522,AKL,LHR,NH,2023-01-19
UL225928,BSB,BER,UL,2023-01-19
NZ966801,BHX,DXB,NZ,2023-01-19
HX378200,FCO,NBO,HX,2023-01-19
UL820557,HAN,TLS,UL,2023-01-19
QH955710,HEL,MEL,QH,2023-01-19
AA994554,SYD,FRA,AA,2023-01-19
VB478527,FRA,SGN,VB,2023-01-19
TG927876,YYZ,SCL,TG,2023-01-19
PX134262,SDQ,BOM,PX,2023-01-19
IB188474,DUB,IST,IB,2023-01-19
MU524776,LIM,BOD,MU,2023-01-19
ME202522,BOM,DFW,ME,2023-01-19
VS200562,NCE,MAD,VS,2023-01-19
OS325893,EDI,LPL,OS,2023-01-19
G3480607,HAV,CHC,G3,2023-01-19
TS567934,MXP,CPT,TS,2023-01-19
NH111536,AMS,FRA,NH,2023-01-19
A3871238,BRS,CGK,A3,2023-01-20
J2176355,DOH,GRU,J2,2023-01-20
ME639376,KIN,NCL,ME,2023-01-20
OB415152,NCE,ATL,OB,2023-01-20
SV078156,PEK,DUS,SV,2023-01-20
AS056329,BCN,SGN,AS,2023-01-20
UL769407,CWL,ZRH,UL,2023-01-20
LO969509,NCL,POS,LO,2023-01-20
PX606566,ATH,LIS,PX,2023-01-20
EY456452,DEL,HAM,EY,2023-01-20
SG105244,MUC,MAN,SG,2023-01-20
VA195185,GLA,BFS,VA,2023-01-20
JU224857,MAN,IST,JU,2023-01-20
KU525563,PUJ,AKL,KU,2023-01-20
SA290969,PTY,PRG,SA,2023-01-20
MS712749,GUA,POS,MS,2023-01-20
B6738558,CHC,GLA,B6,2023-01-20
KL614604,YYZ,MAN,KL,2023-01-20
EK666714,LHR,BOM,EK,2023-01-20
FI947535,LPL,VIE,FI,2023-01-20
WB822213,PRG,ATL,WB,2023-01-20
CA476133,MNL,CPH,CA,2023-01-20
J2086711,BKK,BFS,J2,2023-01-20
AC998829,PTY,POS,AC,2023-01-20
NZ651669,LYS,ATL,NZ,2023-01-20
KM326032,CDG,HEL,KM,2023-01-20
AA102610,JNB,MEX,AA,2023-01-20
AR737879,AMS,NTE,AR,2023-01-20
PC050833,ATH,MAN,PC,2023-01-20
NK139693,MBJ,CWL,NK,2023-01-21
LO531292,POS,LBA,LO,2023-01-21
FI927504,ARN,DXB,FI,2023-01-21
HU856409,BER,BRU,HU,2023-01-21
GA388060,HAJ,ORD,GA,2023-01-21
QH223289,GIG,KEF,QH,2023-01-21
EW964373,LIM,SGN,EW,2023-01-21
FZ532592,LHR,NCE,FZ,2023-01-21
AY404994,MUC,BSL,AY,2023-01-21
G3970201,NTE,HAV,G3,2023-01-21
B6542314,SYD,BOM,B6,2023-01-21
AC582520,LPL,BSB,AC,2023-01-21
EK215495,WLG,NAS,EK,2023-01-21
LA096095,GLA,BRU,LA,2023-01-21
AF005473,PRG,POS,AF,2023-01-21
QF376999,PRG,SJO,QF,2023-01-21
KL734725,KIN,BER,KL,2023-01-21
NK807740,BOM,FCO,NK,2023-01-21
TG435985,ICN,ARN,TG,2023-01-22
KE303623,GUA,BSL,KE,2023-01-22
KL176291,IST,MAD,KL,2023-01-22
AA456657,MAN,VIE,AA,2023-01-22
FJ827233,BOD,TLS,FJ,2023-01-22
UK189053,LPL,GVA,UK,2023-01-22
B6625989,EZE,OSL,B6,2023-01-22
GA129030,STR,MEX,GA,2023-01-22
LA545675,MEX,PTY,LA,2023-01-22
AT931091,CWL,BOG,AT,2023-01-22
MK750798,PUJ,LPL,MK,2023-01-22
KU616448,PRG,ATH,KU,2023-01-22
AH539333,CHC,HND,AH,2023-01-22
QH913153,ATH,GIG,QH,2023-01-22
BT730503,GLA,YYZ,BT,2023-01-22
Y4835160,TLS,MAD,Y4,2023-01-22
SG509270,HKG,OSL,SG,2023-01-22
J2822195,BRU,PRG,J2,2023-01-22
EI996088,LHR,BER,EI,2023-01-22
FZ818250,CPH,BSB,FZ,2023-01-22
CA276913,LIS,CPT,CA,2023-01-22
EW066705,ARN,MBJ,EW,2023-01-22
KQ417619,AMS,GLA,KQ,2023-01-22
QF763018,GVA,HAN,QF,2023-01-22
AF789344,AKL,IST,AF,2023-01-22
RO392060,LIS,BOM,RO,2023-01-22
JT932933,BUD,BOG,JT,2023-01-22
DL026577,ARN,HAM,DL,2023-01-22
NZ850713,BSL,DEL,NZ,2023-01-23
Y4726180,DFW,CDG,Y4,2023-01-23
TS482035,BUD,MAN,TS,2023-01-23
KE851722,HKG,SCL,KE,2023-01-23
AV102797,BOM,ZRH,AV,2023-01-23
NK071036,LHR,CDG,NK,2023-01-23
F9113394,DOH,MEX,F9,2023-01-23
MH345730,MUC,CGK,MH,2023-01-23
EY710016,DUB,AMS,EY,2023-01-23
SQ040253,PTY,ARN,SQ,2023-01-23
EY302900,IST,ZRH,EY,2023-01-23
NK368736,KEF,HND,NK,2023-01-23
FR021723,BER,LPL,FR,2023-01-23
VN986784,BRS,BHX,VN,2023-01-23
MU721736,CWL,LIM,MU,2023-01-23
TR174687,PTY,DEN,TR,2023-01-23
SV024450,SGN,SAL,SV,2023-01-23
PX276846,ATL,KEF,PX,2023-01-23
JA898921,ORD,LAX,JA,2023-01-23
SG705797,NUE,CHC,SG,2023-01-23
SQ823124,TLS,HKG,SQ,2023-01-23
TK942568,POS,IST,TK,2023-01-23
KU936485,BHX,VIE,KU,2023-01-23
DT077794,LYS,HAV,DT,2023-01-24
VB601558,HAV,ATL,VB,2023-01-24
KQ795232,HND,DXB,KQ,2023-01-24
UL040399,BHX,PUJ,UL,2023-01-24
KL773541,CPH,MXP,KL,2023-01-24
AV787635,BCN,ORD,AV,2023-01-24
QF120110,CDG,LAX,QF,2023-01-24
FZ926769,SYD,BCN,FZ,2023-01-24
EW160588,MNL,MEL,EW,2023-01-24
G3324878,GLA,MEX,G3,2023-01-24
JU753770,BOM,PEK,JU,2023-01-24
GA767619,EZE,DFW,GA,2023-01-24
ME258538,DOH,SCL,ME,2023-01-24
CA181467,LBA,HAM,CA,2023-01-24
ME986628,DEL,DEN,ME,2023-01-24
AS673937,LYS,BUD,AS,2023-01-24
JA561223,LYS,LBA,JA,2023-01-24
NZ455455,HAM,BOG,NZ,2023-01-24
ET808274,NCL,PRG,ET,2023-01-25
VS037251,MEL,PRG,VS,2023-01-25
AD207479,OSL,ATH,AD,2023-01-25
AS038644,BOD,CGN,AS,2023-01-25
MK071529,DOH,ZRH,MK,2023-01-25
NH689085,MEX,YYZ,NH,2023-01-25
RO286475,AKL,LHR,RO,2023-01-25
TU160781,BOG,DOH,TU,2023-01-25
AF140334,BOD,PRG,AF,2023-01-25
UL431945,VIE,HND,UL,2023-01-25
WB236574,HEL,SYD,WB,2023-01-25
PC206090,LPL,GRU,PC,2023-01-25
GF055270,DOH,MUC,GF,2023-01-25
TG807003,DEL,ATH,TG,2023-01-25
G3352212,PUJ,WLG,G3,2023-01-25
EK678013,BOG,MEX,EK,2023-01-25
FZ463859,BOM,CPH,FZ,2023-01-25
VA926670,MEX,CDG,VA,2023-01-25
JA059039,LEJ,DUS,JA,2023-01-25
CZ430091,MNL,AMS,CZ,2023-01-25
GA328123,OSL,PEK,GA,2023-01-25
AS205819,SDQ,CDG,AS,2023-01-25
EI587067,STR,POS,EI,2023-01-25
WS494377,SCL,LBA,WS,2023-01-25
JU069225,WAW,KEF,JU,2023-01-25
ET112010,KEF,STR,ET,2023-01-26
GF072479,BSB,OSL,GF,2023-01-26
TK771626,FRA,VIE,TK,2023-01-26
AR049117,DEN,BCN,AR,2023-01-26
CX181685,CWL,NBO,CX,2023-01-26
UL156400,BUD,GVA,UL,2023-01-26
QR581211,SIN,ICN,QR,2023-01-26
RO824415,FCO,MAD,RO,2023-01-26
NK744770,BFS,EDI,NK,2023-01-26
AA456403,GLA,KIN,AA,2023-01-26
AC984535,KIN,ORD,AC,2023-01-26
FI998828,DUS,MEL,FI,2023-01-26
JU769095,KEF,GRU,JU,2023-01-26
UL378318,GLA,TLS,UL,2023-01-26
GF174198,PEK,HKG,GF,2023-01-26
NH853705,ARN,DFW,NH,2023-01-26
HY297941,LAX,BOM,HY,2023-01-26
QH943382,WLG,LAX,QH,2023-01-26
DT280571,SGN,CGK,DT,2023-01-26
MH962623,ICN,AMS,MH,2023-01-26
AH668947,CPT,LHR,AH,2023-01-26
SA357369,ATH,FRA,SA,2023-01-26
GF459832,MXP,DUS,GF,2023-01-26
IB424076,OSL,GRU,IB,2023-01-26
6E152326,GUA,MAN,6E,2023-01-26
HY512597,HAM,MXP,HY,2023-01-26
FJ733936,DUS,CDG,FJ,2023-01-26
CX986001,LAX,DOH,CX,2023-01-26
EW322215,WLG,BOD,EW,2023-01-27
CA334111,HND,VIE,CA,2023-01-27
AM749705,LIM,SCL,AM,2023-01-27
VS135038,EDI,YYZ,VS,2023-01-27
TR913210,HKG,SYD,TR,2023-01-27
VA554399,BSB,SCL,VA,2023-01-27
AC638799,NUE,PEK,AC,2023-01-27
TR805292,NBO,BKK,TR,2023-01-27
MH086761,MRS,BOD,MH,2023-01-27
AT499194,CPT,PUJ,AT,2023-01-27
LA080735,DFW,JNB,LA,2023-01-27
FI553158,NTE,ORD,FI,2023-01-27
VS461777,DXB,ICN,VS,2023-01-27
H2120004,BER,LIS,H2,2023-01-27
UA007960,BER,HND,UA,2023-01-27
JT386836,NAS,BSB,JT,2023-01-27
MK975897,HAJ,IST,MK,2023-01-27
WS528541,BER,PTY,WS,2023-01-27
TP414051,LEJ,FRA,TP,2023-01-28
JT626362,NTE,BOM,JT,2023-01-28
GF494314,LEJ,CPH,GF,2023-01-28
AM733124,ICN,AKL,AM,2023-01-28
AT960336,HKG,GLA,AT,2023-01-28
AS597967,BRS,DEL,AS,2023-01-28
WY521051,MEL,PUJ,WY,2023-01-28
JU704656,GRU,ATL,JU,2023-01-28
RJ504280,NAS,MXP,RJ,2023-01-28
HX279923,DEN,HEL,HX,2023-01-28
VN617788,HAV,LIM,VN,2023-01-28
PX657438,BOG,ARN,PX,2023-01-28
SK860800,VIE,PUJ,SK,2023-01-28
