flight_number,Departure_IATA,Arrival_IATA,Airline_IATA,flight_date
UA2329,LBA,NCL,UA,2026-01-22
G31472,VIE,BUD,G3,2026-03-25
W63981,HAJ,ZRH,W6,2026-01-08
B66827,BHX,AKL,B6,2026-01-07
DT7088,DFW,FCO,DT,2026-03-11
MK9273,LAX,OSL,MK,2026-01-22
LH4699,DFW,LEJ,LH,2026-03-02
AA9541,HEL,VIE,AA,2026-01-07
AD466,EZE,BUD,AD,2026-03-22
VA5073,YYZ,MAD,VA,2026-01-26
VA4924,DEN,BUD,VA,2026-01-11
LA9777,MAN,MNL,LA,2026-01-22
GF5111,BFS,BSB,GF,2026-02-27
SQ6565,LBA,PEK,SQ,2026-02-15
UK2912,FCO,CGK,UK,2026-03-12
TU3787,AMS,LAX,TU,2026-02-04
A33564,YYZ,HAJ,A3,2026-03-12
OB4896,MNL,ARN,OB,2026-02-07
UL7703,MEX,DUS,UL,2026-03-12
RO7509,LAX,CAI,RO,2026-02-09
TS8754,HAJ,MEL,TS,2026-03-12
EY743,ZRH,DUS,EY,2026-02-17
LH4971,BOM,SGN,LH,2026-02-04
FR3979,BER,HEL,FR,2026-03-28
VS9202,MUC,SJO,VS,2026-01-28
H21533,CHC,BSL,H2,2026-03-08
VN2337,WLG,CPT,VN,2026-03-20
VN1169,HND,SJO,VN,2026-01-04
AM2738,BFS,LIS,AM,2026-01-08
SA7886,LIM,ORD,SA,2026-03-09
QR8376,HAJ,DOH,QR,2026-03-19
VS180,CWL,BRS,VS,2026-03-15
CZ7483,HAJ,JNB,CZ,2026-01-02
CX5881,WAW,NBO,CX,2026-03-14
TK7294,SYD,HAJ,TK,2026-01-29
NZ3735,CGK,ZRH,NZ,2026-02-08
KE1121,MAN,WLG,KE,2026-03-13
PX9216,BCN,OSL,PX,2026-03-22
ME4277,NUE,CHC,ME,2026-01-19
GF6228,LAX,PUJ,GF,2026-01-05
JU1940,BKK,CGK,JU,2026-02-06
FJ985,SJO,WAW,FJ,2026-03-15
LA5421,MEX,CPT,LA,2026-03-15
AM7487,FRA,GUA,AM,2026-01-14
U21588,HAJ,CWL,U2,2026-03-26
KQ4840,BKK,VIE,KQ,2026-01-05
VN3235,DFW,ARN,VN,2026-02-14
IB5113,CPH,AMS,IB,2026-03-12
DT5498,PEK,FCO,DT,2026-03-13
MK1871,TLS,CAI,MK,2026-01-30
MU802,HAN,LIM,MU,2026-01-05
6E9366,HND,LYS,6E,2026-02-28
NH3717,YYZ,MUC,NH,2026-03-08
NZ8250,LPL,NAS,NZ,2026-02-03
KU8397,BKK,NBO,KU,2026-03-19
JL733,NCL,AMS,JL,2026-01-13
JL6508,HAJ,JNB,JL,2026-01-28
AD9764,SDQ,MUC,AD,2026-03-21
AA2264,BCN,NTE,AA,2026-01-05
KQ7215,IST,BOM,KQ,2026-02-23
NZ4899,CGN,KEF,NZ,2026-02-22
SA9482,KEF,TLS,SA,2026-01-27
LX5725,PUJ,GLA,LX,2026-02-03
DT9137,MEL,BER,DT,2026-01-26
UL1523,FCO,BOD,UL,2026-01-26
WN5581,SCL,MNL,WN,2026-02-22
QR9559,KEF,HAM,QR,2026-01-09
TG2858,NBO,BOD,TG,2026-03-28
LO1468,GLA,BOG,LO,2026-03-06
PC1287,NCE,MAD,PC,2026-03-03
AV9978,NUE,HAM,AV,2026-02-08
AT6118,MUC,YYZ,AT,2026-03-26
HU9385,MEX,LIS,HU,2026-03-27
SQ8122,SJO,BKK,SQ,2026-01-06
MH5352,LBA,HKG,MH,2026-02-22
KM888,SGN,CDG,KM,2026-03-21
SK6542,ATL,DUS,SK,2026-02-15
H25282,KIN,PRG,H2,2026-01-07
WB9155,DXB,NAS,WB,2026-01-27
BT4786,SYD,BUD,BT,2026-01-30
BT3528,BOD,KIN,BT,2026-03-03
LX7693,CPT,ATL,LX,2026-02-27
GF3281,CDG,SAL,GF,2026-02-22
TG6287,LHR,PUJ,TG,2026-03-16
GA9231,SCL,BUD,GA,2026-03-22
VY8524,DEL,BOM,VY,2026-03-19
LX5389,NUE,GIG,LX,2026-03-08
LO1560,HAM,AKL,LO,2026-03-24
AA6331,PRG,MAN,AA,2026-03-01
DL3083,GIG,HAV,DL,2026-02-05
JL4519,STR,WLG,JL,2026-03-01
SG2917,SYD,STR,SG,2026-02-27
TU2468,CGK,ZRH,TU,2026-01-12
G3377,IST,GRU,G3,2026-03-07
KC5100,HKG,LIS,KC,2026-03-14
W67663,CDG,JNB,W6,2026-03-09
LX4559,BRU,LIM,LX,2026-02-07
SK6651,ATL,SYD,SK,2026-02-04
KE1218,LBA,SDQ,KE,2026-01-13
VA6914,NAS,IST,VA,2026-03-25
Y46292,BUD,MXP,Y4,2026-03-29
SV8219,NTE,MXP,SV,2026-03-06
KC2857,GUA,BHX,KC,2026-01-28
UA9142,SCL,ZRH,UA,2026-02-17
MS6529,SIN,GVA,MS,2026-03-23
SG9168,CPH,SAL,SG,2026-01-21
AD987,GVA,KEF,AD,2026-02-20
A38448,LYS,KEF,A3,2026-01-12
KM133,BKK,DEN,KM,2026-03-26
AI7203,GRU,CPT,AI,2026-03-28
OZ4406,MNL,SCL,OZ,2026-03-05
QR2605,MXP,HND,QR,2026-02-11
GF8318,BKK,ATL,GF,2026-01-05
VY6469,HEL,KIN,VY,2026-01-22
PC2159,BOM,HAN,PC,2026-01-19
AV1730,LBA,NBO,AV,2026-03-06
WS8452,MBJ,WLG,WS,2026-02-27
OB3495,EDI,LPL,OB,2026-01-17
HY6835,MUC,NAS,HY,2026-03-21
OS314,CGK,LIS,OS,2026-02-10
RJ3740,PEK,SYD,RJ,2026-03-03
IB1909,FRA,HND,IB,2026-02-15
TP8996,KIN,BRS,TP,2026-03-30
MS7762,LAX,MNL,MS,2026-01-12
VN1274,HKG,PUJ,VN,2026-01-04
WS8978,LIS,DFW,WS,2026-01-21
IB6805,ICN,YYZ,IB,2026-03-22
TP3839,LYS,EDI,TP,2026-03-14
ET5483,NTE,BOM,ET,2026-03-10
KM4750,CAI,BRU,KM,2026-01-16
OB1673,HEL,GLA,OB,2026-02-07
UK8544,FRA,KIN,UK,2026-02-10
CZ4502,LBA,VIE,CZ,2026-01-05
U26056,MXP,HND,U2,2026-02-27
U2834,DXB,PUJ,U2,2026-01-31
KM2503,MEX,PEK,KM,2026-01-31
WY5397,FCO,BKK,WY,2026-01-21
HY2332,CGN,BOM,HY,2026-03-14
KE6152,NCL,WLG,KE,2026-02-17
J23111,LAX,SDQ,J2,2026-03-10
BT7771,NTE,WAW,BT,2026-03-04
LA2430,BOM,PRG,LA,2026-03-20
LH3548,KEF,BOG,LH,2026-01-23
MU8260,FCO,SGN,MU,2026-01-25
ME6492,BOG,DUS,ME,2026-03-19
W62594,NCL,LYS,W6,2026-03-23
SK1342,GRU,MUC,SK,2026-03-07
AF2734,PUJ,NCE,AF,2026-02-03
AA8910,MEL,YYZ,AA,2026-01-29
VN7713,AKL,TLS,VN,2026-02-07
HU3643,MRS,LIM,HU,2026-01-13
AY4647,BRS,AKL,AY,2026-03-17
Y4609,MAN,SAL,Y4,2026-01-13
KL7958,LIS,ORD,KL,2026-02-05
UK8757,GRU,BRS,UK,2026-03-13
AC2131,IST,EDI,AC,2026-02-12
SA2559,PTY,LYS,SA,2026-02-19
KC8923,GRU,GUA,KC,2026-01-09
QR3912,GUA,BCN,QR,2026-03-12
NZ5527,NTE,WAW,NZ,2026-03-13
W67928,CHC,WAW,W6,2026-03-24
QF9248,WLG,VIE,QF,2026-01-21
EK459,EZE,GVA,EK,2026-03-11
GF3789,NAS,NCE,GF,2026-01-18
MH2236,CDG,MEL,MH,2026-03-12
F95372,BUD,KEF,F9,2026-03-26
AM5996,MXP,LAX,AM,2026-01-19
FZ5878,YYZ,KIN,FZ,2026-01-23
MU6129,AKL,BKK,MU,2026-02-16
A35746,DFW,DUS,A3,2026-03-26
A3558,SYD,ICN,A3,2026-01-15
ET3342,SJO,KEF,ET,2026-02-06
NK8371,MNL,DFW,NK,2026-02-28
MH436,PEK,MEL,MH,2026-01-03
JU7943,ARN,DUS,JU,2026-03-24
Y45191,LIM,GRU,Y4,2026-01-29
NK7756,LHR,ICN,NK,2026-02-18
WY6931,PRG,SYD,WY,2026-03-09
VN6538,HAN,ICN,VN,2026-01-09
EI7637,NAS,HAJ,EI,2026-02-14
FI7053,DFW,MRS,FI,2026-03-02
KM509,FRA,MAN,KM,2026-02-08
EY9443,NTE,ORD,EY,2026-01-28
FZ5084,AMS,HND,FZ,2026-01-14
FZ3214,DUS,DOH,FZ,2026-01-17
SV2225,SIN,GLA,SV,2026-02-07
KU4910,MXP,YYZ,KU,2026-01-22
PR9208,ARN,SYD,PR,2026-01-05
DT8020,CWL,GIG,DT,2026-02-11
JT4374,SAL,BUD,JT,2026-01-07
AA6156,AKL,ZRH,AA,2026-03-09
WY2767,GIG,BER,WY,2026-01-07
UK5974,CDG,CPT,UK,2026-01-10
TS923,SGN,LIS,TS,2026-02-27
AH2820,YYZ,VIE,AH,2026-03-20
KM3627,CGK,CPH,KM,2026-03-16
GF9532,BRS,HAM,GF,2026-02-08
G33932,SIN,DFW,G3,2026-02-17
KE9669,NCL,FCO,KE,2026-02-18
HX8148,LYS,HAV,HX,2026-01-27
NK9115,DUS,LIS,NK,2026-02-06
CA340,PRG,BCN,CA,2026-03-14
MK8583,ATH,HKG,MK,2026-01-13
SK3626,DFW,CAI,SK,2026-03-20
GA9602,EDI,CGN,GA,2026-03-02
TU7810,FCO,NCE,TU,2026-02-18
TG5933,AMS,BUD,TG,2026-03-04
6E240,NUE,BER,6E,2026-03-07
QH8295,KEF,ORD,QH,2026-03-08
MU2765,ICN,SDQ,MU,2026-02-07
SA8658,DXB,SIN,SA,2026-02-14
QR9571,GRU,HAM,QR,2026-03-27
LH9391,AMS,SCL,LH,2026-03-10
HU838,TLS,DEN,HU,2026-03-15
EK4318,GRU,HEL,EK,2026-03-08
SG9199,LAX,JNB,SG,2026-03-06
LO949,MBJ,LHR,LO,2026-03-09
FJ2205,BOM,HAN,FJ,2026-02-27
TK924,MXP,PEK,TK,2026-03-05
OS339,BCN,WLG,OS,2026-03-28
TP9170,EZE,LIS,TP,2026-03-25
Y43999,DUB,PEK,Y4,2026-03-26
TU9021,PTY,SAL,TU,2026-02-28
VA9812,DXB,LEJ,VA,2026-02-16
WS2773,STR,TLS,WS,2026-02-25
H24296,MRS,DEL,H2,2026-01-13
W66553,TLS,NTE,W6,2026-02-08
6E5770,LEJ,IST,6E,2026-01-06
G36338,MUC,MNL,G3,2026-03-29
AY5258,BSB,LIS,AY,2026-03-08
KM5175,MEL,FCO,KM,2026-01-09
QR358,PEK,BHX,QR,2026-01-16
MH2554,BOD,NUE,MH,2026-01-21
EI698,ARN,BKK,EI,2026-03-15
BA1225,CDG,BER,BA,2026-02-05
QH6441,PUJ,OSL,QH,2026-01-21
AS1340,BKK,BSL,AS,2026-01-25
IB6464,BRU,CDG,IB,2026-02-25
VB3234,WLG,SJO,VB,2026-01-04
MU5537,BUD,MEL,MU,2026-01-20
PX5469,LIM,AMS,PX,2026-03-24
AV4299,ZRH,PTY,AV,2026-03-17
UL2651,LPL,LIS,UL,2026-03-30
QH3888,NTE,HAV,QH,2026-01-12
TR9283,CGK,KIN,TR,2026-02-15
IB7869,AKL,BER,IB,2026-02-15
DL315,MNL,BSL,DL,2026-03-08
AV3480,YYZ,KIN,AV,2026-03-08
DL8507,LYS,CWL,DL,2026-01-19
B61519,SCL,CPH,B6,2026-03-04
RJ8567,ATL,CHC,RJ,2026-01-02
QF7617,YYZ,LAX,QF,2026-03-22
HU2636,MRS,GVA,HU,2026-02-20
AY3538,BRS,GIG,AY,2026-01-02
DT5022,ATH,LEJ,DT,2026-03-29
UK3085,HKG,CWL,UK,2026-01-22
VS4296,TLS,SCL,VS,2026-02-19
HX9541,POS,AMS,HX,2026-02-19
JL2347,BSB,WAW,JL,2026-02-01
AT6996,DUS,VIE,AT,2026-02-10
CA1281,MEL,GVA,CA,2026-02-02
AH5007,LIM,LHR,AH,2026-01-22
PR9483,PUJ,LIS,PR,2026-02-26
AV6401,PUJ,OSL,AV,2026-03-22
FJ5550,LIM,LPL,FJ,2026-01-16
GF6434,MNL,BOM,GF,2026-03-07
BT6604,LBA,MEX,BT,2026-02-12
TU3384,SAL,FCO,TU,2026-03-22
LO4329,AKL,POS,LO,2026-02-25
CX2947,AMS,DEL,CX,2026-01-07
IB3338,CWL,CAI,IB,2026-02-12
MU1973,BSB,NUE,MU,2026-02-10
RJ9742,AMS,GIG,RJ,2026-01-21
B63406,HAJ,GLA,B6,2026-01-11
OS8142,YYZ,GUA,OS,2026-01-21
AT5601,SYD,SIN,AT,2026-01-20
TS9264,CWL,ATL,TS,2026-01-28
VN9455,AKL,SCL,VN,2026-01-21
CA456,MNL,BSB,CA,2026-02-06
F92985,HAJ,MAN,F9,2026-01-02
Y49310,FRA,SJO,Y4,2026-03-11
EY378,LPL,DUS,EY,2026-03-03
GA2509,BFS,LEJ,GA,2026-01-07
VY7079,PRG,HAV,VY,2026-01-20
BA7279,STR,LPL,BA,2026-02-27
IB4587,MXP,SDQ,IB,2026-03-04
EI1691,BRU,PEK,EI,2026-03-12
EW3916,LIM,LBA,EW,2026-01-22
FZ3951,CGN,HEL,FZ,2026-02-15
TR5169,ATL,WLG,TR,2026-03-15
LA2054,AMS,JNB,LA,2026-01-06
EI9996,CGK,PEK,EI,2026-01-10
VA3341,BOG,AMS,VA,2026-03-30
FZ3993,EZE,TLS,FZ,2026-03-24
VS7495,SGN,BOG,VS,2026-02-19
SG9060,ZRH,DUB,SG,2026-03-21
HU5940,BHX,NTE,HU,2026-01-30
CA2533,ATH,BSL,CA,2026-03-22
QH6782,LHR,MAD,QH,2026-02-10
FJ7998,BCN,MAN,FJ,2026-01-04
KU4525,GLA,WAW,KU,2026-01-06
CA5805,LHR,GLA,CA,2026-03-06
AV9035,MEL,CHC,AV,2026-03-06
OS8101,BRU,DEL,OS,2026-01-29
UA8368,DUS,MRS,UA,2026-02-22
KQ1596,BFS,SAL,KQ,2026-02-21
AA6310,HAV,EZE,AA,2026-01-22
TG8123,DUB,YYZ,TG,2026-02-17
QH3783,BCN,BSB,QH,2026-03-05
PR8626,BOM,BHX,PR,2026-02-23
LH3410,BSB,BER,LH,2026-01-27
RO624,YYZ,NUE,RO,2026-03-06
DT2347,MXP,CGN,DT,2026-01-10
ME4872,MNL,ZRH,ME,2026-02-25
MU3075,DUS,FRA,MU,2026-02-13
TU108,MXP,NAS,TU,2026-02-18
SG9006,BKK,AMS,SG,2026-01-17
RO3396,SDQ,NBO,RO,2026-03-02
GA2552,SAL,BSB,GA,2026-03-01
AC3741,SIN,ATH,AC,2026-03-14
FR519,BER,LBA,FR,2026-02-16
LH4214,AMS,MBJ,LH,2026-01-28
LA2926,HND,BOM,LA,2026-03-07
VB3185,EDI,HND,VB,2026-02-03
NZ1297,GVA,NCL,NZ,2026-03-05
A35913,LEJ,DEL,A3,2026-02-02
WB2271,BER,SAL,WB,2026-01-07
AM7337,LHR,EZE,AM,2026-01-01
F94123,STR,HAM,F9,2026-03-09
AI7195,LAX,PEK,AI,2026-03-25
PC2001,CGN,ORD,PC,2026-03-23
WS2994,SGN,ICN,WS,2026-03-30
EK1200,MAD,DXB,EK,2026-02-09
WN4874,BSB,PUJ,WN,2026-03-24
ET7213,LBA,SJO,ET,2026-03-18
MU399,BOG,LIM,MU,2026-01-08
NH8695,BSL,HND,NH,2026-01-11
BT7513,FCO,BKK,BT,2026-03-29
UK3109,IST,NUE,UK,2026-02-13
JU229,BRS,ZRH,JU,2026-03-25
NH4759,GLA,BER,NH,2026-01-07
VB6555,LEJ,LIM,VB,2026-02-02
OZ3018,ATL,HND,OZ,2026-02-07
AS6063,NTE,WLG,AS,2026-01-10
AV3808,STR,GRU,AV,2026-03-15
FZ5578,SAL,WAW,FZ,2026-03-20
VN2885,SJO,DEL,VN,2026-01-15
J28466,DFW,HAV,J2,2026-02-10
VB3719,PRG,GRU,VB,2026-03-19
UL5213,GUA,HAJ,UL,2026-03-17
F93264,OSL,BFS,F9,2026-03-21
FZ458,HAM,MXP,FZ,2026-03-29
SQ6902,HAJ,GRU,SQ,2026-02-21
AC3293,KEF,ICN,AC,2026-03-18
AH8204,AMS,SGN,AH,2026-02-18
FZ9645,HND,CGN,FZ,2026-03-15
FZ8881,ICN,ATH,FZ,2026-03-04
SK9514,LYS,SIN,SK,2026-02-25
U27392,BSB,LIM,U2,2026-02-28
TU9818,BCN,PUJ,TU,2026-02-22
AA1299,ATL,MEX,AA,2026-03-23
AS5079,STR,IST,AS,2026-02-04
HY2535,MXP,LBA,HY,2026-02-03
MU3690,LAX,DOH,MU,2026-01-12
TR8239,MXP,LIS,TR,2026-02-17
AS3701,LBA,GRU,AS,2026-02-23
KE2802,NCL,TLS,KE,2026-03-20
QR2453,WAW,SGN,QR,2026-03-02
LO660,DUS,KEF,LO,2026-01-15
AS5944,ORD,BRS,AS,2026-02-23
HX4760,TLS,CWL,HX,2026-02-17
VY5183,VIE,MBJ,VY,2026-03-17
JA2537,BOG,VIE,JA,2026-02-11
ME2156,LAX,LEJ,ME,2026-01-21
VA5868,NCL,YYZ,VA,2026-03-31
LO3493,HAM,BOG,LO,2026-03-25
BT7961,FRA,VIE,BT,2026-01-07
GF9740,BFS,STR,GF,2026-01-07
QH8786,MEX,MXP,QH,2026-03-23
TU5797,GUA,SGN,TU,2026-01-30
G35485,CAI,LYS,G3,2026-03-10
UL9398,PRG,CGN,UL,2026-01-31
OS3250,DUS,TLS,OS,2026-03-24
CX9083,SDQ,DUS,CX,2026-01-19
NZ4441,CPT,BRU,NZ,2026-03-28
W67264,WAW,CGN,W6,2026-02-21
UA433,NBO,HAN,UA,2026-01-06
TG2182,CHC,ZRH,TG,2026-03-20
KU864,SDQ,PTY,KU,2026-03-23
AA4407,DEN,BRS,AA,2026-01-13
PC1776,BUD,DXB,PC,2026-01-21
JL1814,GVA,BRS,JL,2026-01-06
TU9988,BER,PEK,TU,2026-03-19
H28488,HAN,BRU,H2,2026-01-03
BT7461,GVA,VIE,BT,2026-01-22
GA9595,IST,LIM,GA,2026-02-09
NH8258,DUS,CAI,NH,2026-03-15
VB1857,VIE,PRG,VB,2026-02-24
KL4049,ATH,DEL,KL,2026-01-05
AA8019,PTY,NAS,AA,2026-02-08
NK1012,LIM,CAI,NK,2026-01-16
SV5686,SGN,IST,SV,2026-01-12
FJ7927,CAI,MUC,FJ,2026-01-14
WB7615,MUC,GIG,WB,2026-03-12
NK2883,LYS,CGK,NK,2026-02-08
QR9428,SAL,SYD,QR,2026-03-14
MK4073,AMS,BSL,MK,2026-02-19
J28821,DUB,CAI,J2,2026-01-08
MK8021,NBO,SJO,MK,2026-02-16
FI5640,LIM,BER,FI,2026-02-22
SQ5167,YYZ,DEL,SQ,2026-02-27
AM8464,SDQ,BOD,AM,2026-02-28
SK6600,NBO,LHR,SK,2026-03-07
JA3524,CAI,AMS,JA,2026-01-02
ME2711,PUJ,SYD,ME,2026-03-01
UL8175,WLG,HND,UL,2026-01-07
ME1806,EZE,GLA,ME,2026-02-09
RO6573,BOG,AKL,RO,2026-02-15
TR3244,LIM,LEJ,TR,2026-03-14
CZ3649,HAJ,CGK,CZ,2026-03-29
HY4158,FRA,EZE,HY,2026-03-15
MU7987,EZE,MEL,MU,2026-02-25
DL8680,EDI,BKK,DL,2026-03-04
BT5036,PTY,PUJ,BT,2026-01-15
TP2626,BFS,NUE,TP,2026-01-11
KC821,HND,NCE,KC,2026-02-12
JA5433,NBO,ATL,JA,2026-01-22
AY8049,VIE,KEF,AY,2026-02-08
ME4953,ATL,FCO,ME,2026-03-31
AI4824,HAM,FRA,AI,2026-03-10
HY9192,CWL,NUE,HY,2026-03-21
FZ4407,CDG,DFW,FZ,2026-03-24
MK4656,LHR,GLA,MK,2026-01-12
NZ4654,LAX,STR,NZ,2026-02-26
CA2967,CGN,SCL,CA,2026-03-05
SG5393,DFW,JNB,SG,2026-03-21
AC9870,ICN,MEX,AC,2026-02-03
MS2721,DEN,HAM,MS,2026-01-10
ME916,ZRH,MNL,ME,2026-03-15
SA9715,BSL,KIN,SA,2026-02-23
DL4720,CHC,AMS,DL,2026-01-06
NK4393,CHC,CDG,NK,2026-02-12
CA663,LHR,POS,CA,2026-01-17
6E3177,DUB,KEF,6E,2026-02-18
JA6505,LHR,CHC,JA,2026-02-24
VB2806,ZRH,BSL,VB,2026-02-07
SG6877,BER,WAW,SG,2026-03-02
OS6923,PUJ,ICN,OS,2026-02-17
J21047,ATL,MEX,J2,2026-03-10
IB3915,HAM,ORD,IB,2026-03-07
OZ7687,VIE,GRU,OZ,2026-01-27
KC8240,FRA,JNB,KC,2026-02-19
LH2862,BER,HAN,LH,2026-03-21
KL8161,NCL,CDG,KL,2026-02-11
EY8902,OSL,LIS,EY,2026-01-27
FR7887,SYD,DEN,FR,2026-01-23
KU8424,HAM,HAN,KU,2026-01-25
VB1470,ATH,LAX,VB,2026-03-07
SG3060,CGK,NCE,SG,2026-03-20
CX9284,MEL,SAL,CX,2026-01-07
IB7652,NAS,ATL,IB,2026-03-03
NK6570,NAS,MAN,NK,2026-03-09
FR6996,LIS,AMS,FR,2026-01-17
MU5922,GVA,LPL,MU,2026-03-30
QH9368,BOM,NBO,QH,2026-02-13
AM2627,BHX,LIM,AM,2026-02-02
JU6345,BUD,LEJ,JU,2026-01-02
UK1578,MAN,EDI,UK,2026-03-31
TS4617,WLG,MRS,TS,2026-02-25
AS4497,BOM,BRS,AS,2026-01-08
IB3970,NTE,GVA,IB,2026-03-19
CX402,BSL,AMS,CX,2026-02-27
AA8960,EDI,SDQ,AA,2026-02-26
RO8204,BOG,DEL,RO,2026-03-02
SQ320,BRS,IST,SQ,2026-02-03
CX3936,BUD,LYS,CX,2026-02-23
GF2640,MAD,AKL,GF,2026-02-06
FZ3566,GLA,SIN,FZ,2026-03-10
B65126,KEF,SGN,B6,2026-01-31
OS8847,MUC,WLG,OS,2026-01-25
TP3735,BOD,IST,TP,2026-02-18
F95907,BER,KEF,F9,2026-03-22
PR1239,NTE,NUE,PR,2026-03-04
FI6748,SDQ,GVA,FI,2026-03-08
TG4142,POS,NAS,TG,2026-03-16
AA6735,AMS,TLS,AA,2026-01-09
KU5668,BSB,CGK,KU,2026-03-03
KE7234,WAW,MEL,KE,2026-03-24
VS7885,CDG,NAS,VS,2026-01-18
AC1448,MRS,DUB,AC,2026-03-21
CX9705,TLS,HAV,CX,2026-02-01
EK3343,KIN,DEL,EK,2026-02-19
EY6155,PRG,BFS,EY,2026-02-24
A37097,MEL,CWL,A3,2026-02-03
TG596,CGN,IST,TG,2026-01-03
MK694,BRU,AMS,MK,2026-02-27
WN1797,HAN,BOG,WN,2026-01-21
BT3066,DXB,CPH,BT,2026-02-21
AR4084,SJO,MRS,AR,2026-03-22
AS1838,GIG,HAM,AS,2026-01-24
H29159,KIN,NAS,H2,2026-02-25
MK6050,BOD,PEK,MK,2026-02-27
KL8707,WLG,CWL,KL,2026-01-09
CX8219,CGK,SDQ,CX,2026-02-22
EI9061,MRS,HAM,EI,2026-03-26
NH8490,BOM,WAW,NH,2026-03-05
TK7675,BRU,NUE,TK,2026-01-14
AA6128,MEX,HAM,AA,2026-01-09
MH8264,KEF,BOM,MH,2026-03-05
TG3809,POS,CAI,TG,2026-01-18
G31081,LYS,DEL,G3,2026-02-26
TK669,MXP,ATL,TK,2026-03-13
VN6697,HEL,LIM,VN,2026-01-04
PR8075,WAW,CAI,PR,2026-03-20
AT8912,ARN,PEK,AT,2026-02-06
MH8197,TLS,SAL,MH,2026-02-04
MS4693,ATH,BOD,MS,2026-03-17
VS1869,DOH,HND,VS,2026-03-22
TG5321,YYZ,DEN,TG,2026-03-18
AF8231,BOG,SIN,AF,2026-02-21
LH6682,GRU,BOD,LH,2026-03-18
ME1648,EDI,KEF,ME,2026-03-04
BA3324,WLG,LPL,BA,2026-02-14
FI155,IST,SGN,FI,2026-01-26
FJ4347,MBJ,ZRH,FJ,2026-02-18
CX3769,HND,EZE,CX,2026-03-10
FZ4569,GRU,PTY,FZ,2026-02-16
SA713,HAM,NUE,SA,2026-03-21
VB3322,MXP,EDI,VB,2026-01-26
ME3670,MEL,NUE,ME,2026-01-04
TU1008,CAI,BER,TU,2026-03-13
AH7674,IST,MEL,AH,2026-02-06
AS3871,LIM,DFW,AS,2026-02-26
HU3949,SYD,BER,HU,2026-03-24
SK1717,SIN,GRU,SK,2026-03-27
RO9324,NCE,BRU,RO,2026-01-21
W64973,IST,CPT,W6,2026-01-17
QR6741,MNL,IST,QR,2026-01-17
A36147,ATH,GVA,A3,2026-01-01
U25532,CHC,LEJ,U2,2026-01-26
TP3629,BUD,JNB,TP,2026-03-14
CZ5863,LIM,DUS,CZ,2026-01-12
F93372,LPL,ICN,F9,2026-02-19
VS9748,DOH,CGK,VS,2026-01-22
KQ6913,CGN,STR,KQ,2026-01-27
EY8636,PUJ,MBJ,EY,2026-01-22
A39004,AMS,KEF,A3,2026-02-28
MS4081,KIN,GRU,MS,2026-01-24
