flight_number,Departure_IATA,Arrival_IATA,Airline_IATA,flight_date
TP5124,DUB,CGN,TP,2023-12-05
KC7746,NBO,BFS,KC,2023-05-07
TK4424,ATH,DUB,TK,2023-03-02
TK5337,LEJ,YYZ,TK,2023-10-11
BT1081,NUE,WAW,BT,2023-05-24
PX7813,AKL,DFW,PX,2023-12-13
HY6913,DOH,PTY,HY,2023-09-17
LA4541,BFS,LIS,LA,2023-06-07
TS4557,NUE,DFW,TS,2023-12-14
6E4811,MAD,LAX,6E,2023-05-07
EK217,BOD,POS,EK,2023-04-12
PR1473,GRU,LIS,PR,2023-07-23
TG8848,LBA,BOG,TG,2023-10-29
AV6450,CPT,AMS,AV,2023-06-24
G32633,DUB,MUC,G3,2023-08-19
JL4256,LHR,LIM,JL,2023-03-10
6E7233,PTY,GVA,6E,2023-07-13
G38068,CHC,MAD,G3,2023-08-27
PC6724,NAS,CPH,PC,2023-03-24
KC2933,GRU,NUE,KC,2023-06-06
GA7035,LBA,DEL,GA,2023-09-20
LO2079,LBA,HKG,LO,2023-06-10
A32764,PTY,TLS,A3,2023-02-19
VB1765,BSB,BRS,VB,2023-09-15
KQ5568,MBJ,ATL,KQ,2023-05-27
KM6302,BSB,GVA,KM,2023-02-15
MU5478,GIG,MUC,MU,2023-11-27
H23177,SAL,BKK,H2,2023-04-25
TG357,NBO,SCL,TG,2023-01-23
Y45523,ICN,EZE,Y4,2023-04-02
PR9244,SAL,BRS,PR,2023-08-24
TP7119,GUA,BSB,TP,2023-08-15
JA9802,LBA,LAX,JA,2023-10-19
LX8552,NCL,STR,LX,2023-04-22
OB3162,PTY,LIS,OB,2023-10-28
AY9427,DUS,EZE,AY,2023-10-24
J2184,PTY,SAL,J2,2023-01-24
OS3912,HAM,DFW,OS,2023-11-24
AH4192,MAN,CHC,AH,2023-09-27
VN4200,MNL,MUC,VN,2023-07-28
QH2198,WLG,HAV,QH,2023-09-18
AV2165,LBA,BKK,AV,2023-08-23
TS2359,HAJ,CAI,TS,2023-05-02
CA7525,BOD,LIS,CA,2023-01-03
MH8428,HKG,BKK,MH,2023-01-29
EY5505,MEX,AMS,EY,2023-02-15
AS1312,DUS,ZRH,AS,2023-04-26
CX404,BSB,ICN,CX,2023-07-31
MS6644,AKL,KIN,MS,2023-01-03
QH8218,BSB,HND,QH,2023-03-13
RO619,FCO,NAS,RO,2023-02-08
AD9456,BRU,HAM,AD,2023-03-15
FZ5021,JNB,IST,FZ,2023-03-12
LO4562,SAL,NCL,LO,2023-07-02
QF1519,DFW,STR,QF,2023-09-04
GA1268,ICN,WAW,GA,2023-04-10
WB5673,WAW,NCL,WB,2023-11-03
U29879,BOM,DEN,U2,2023-09-24
BA7082,LEJ,CWL,BA,2023-04-01
Y42439,DUB,CAI,Y4,2023-06-08
F99640,KIN,VIE,F9,2023-08-19
HU4040,LAX,EZE,HU,2023-11-18
VN3347,GUA,DEN,VN,2023-04-21
AS2463,SDQ,EZE,AS,2023-04-02
MH9789,MAD,HAV,MH,2023-08-24
LX723,CHC,DUS,LX,2023-12-09
LO2742,BOM,GUA,LO,2023-02-15
GA1206,TLS,HAM,GA,2023-01-22
MH1811,VIE,MAD,MH,2023-07-06
EI9974,SJO,CDG,EI,2023-07-03
ME3310,SYD,NCL,ME,2023-04-14
AF4678,GRU,GIG,AF,2023-12-09
SA5537,ZRH,CGN,SA,2023-11-26
KL5233,BUD,HAV,KL,2023-07-03
LX4772,NBO,NUE,LX,2023-08-04
IB6145,MAN,KEF,IB,2023-05-02
AY1019,BUD,NAS,AY,2023-07-17
JA861,NUE,BOD,JA,2023-08-12
TU6976,HEL,NTE,TU,2023-03-14
KQ6844,NCL,POS,KQ,2023-11-02
EW9299,SJO,GLA,EW,2023-11-20
KE577,JNB,GUA,KE,2023-07-23
NH1873,KEF,BOD,NH,2023-06-17
KE923,HND,ICN,KE,2023-12-22
Y4608,SYD,AMS,Y4,2023-03-17
6E4922,JNB,PRG,6E,2023-06-29
NK4504,GVA,AMS,NK,2023-08-12
FZ7842,SIN,DXB,FZ,2023-09-20
BA4279,MUC,PRG,BA,2023-08-28
KM9396,SYD,JNB,KM,2023-07-08
WN5045,SDQ,PEK,WN,2023-09-12
VY2793,CWL,LEJ,VY,2023-03-30
TR7287,LBA,FCO,TR,2023-09-22
SA2766,ZRH,BCN,SA,2023-01-02
NZ4530,DOH,JNB,NZ,2023-08-04
QF7673,SAL,DOH,QF,2023-11-13
LH2450,HKG,DEN,LH,2023-01-18
HU7111,DUB,BCN,HU,2023-08-11
LA1028,HKG,EDI,LA,2023-09-05
EW6258,MAD,CHC,EW,2023-01-30
LH7399,MAN,NBO,LH,2023-04-20
CX9512,NTE,BOG,CX,2023-03-05
DT4280,MBJ,HKG,DT,2023-04-14
Y4273,BUD,GVA,Y4,2023-12-24
EY3593,BOM,BRS,EY,2023-07-01
F91203,GLA,SYD,F9,2023-08-18
EW9395,ATH,IST,EW,2023-06-29
MS9684,MEL,HKG,MS,2023-06-23
RO8269,SYD,MRS,RO,2023-11-21
AI6695,LHR,DEL,AI,2023-09-20
NZ3660,POS,MEL,NZ,2023-02-07
KE496,NCE,FCO,KE,2023-02-01
DT5785,DFW,OSL,DT,2023-03-10
AV6053,BUD,SCL,AV,2023-05-05
DL5251,MAN,NAS,DL,2023-12-18
HU9657,SCL,KIN,HU,2023-12-13
TG1912,SYD,OSL,TG,2023-12-30
TP7856,NCE,HAN,TP,2023-10-16
LA1648,SJO,WLG,LA,2023-01-12
QF8942,FCO,DUB,QF,2023-02-08
UA311,IST,BOD,UA,2023-10-10
Y47347,SIN,KEF,Y4,2023-10-17
U26174,BUD,SCL,U2,2023-07-03
SV3858,BKK,HND,SV,2023-04-19
PC4466,DUB,HAV,PC,2023-02-19
VB4200,CHC,PRG,VB,2023-05-30
W63070,MAD,GUA,W6,2023-06-15
LH2547,AKL,IST,LH,2023-12-04
VS6036,GIG,LIM,VS,2023-11-02
WS4194,LYS,KEF,WS,2023-06-25
IB8963,BKK,CHC,IB,2023-12-31
JL3924,NBO,GVA,JL,2023-11-11
EY8149,DEL,SDQ,EY,2023-06-03
TS3195,DUS,MEX,TS,2023-12-08
MU7557,WLG,VIE,MU,2023-01-12
WB7590,CPH,GIG,WB,2023-12-05
AH1489,CPH,KEF,AH,2023-10-02
AY1549,SCL,SDQ,AY,2023-09-11
TG7746,KIN,LBA,TG,2023-07-21
MS7358,NTE,BOM,MS,2023-01-27
TS9524,POS,PEK,TS,2023-02-06
VN9160,HAN,GRU,VN,2023-01-15
BT953,WAW,MBJ,BT,2023-11-20
WB3362,CDG,BOG,WB,2023-09-15
UA3675,GVA,NBO,UA,2023-05-13
DT7411,CPH,BHX,DT,2023-07-03
J27322,LIS,GLA,J2,2023-05-20
WY2386,SCL,MUC,WY,2023-07-31
WS8054,BCN,DXB,WS,2023-09-13
HY8650,MRS,SCL,HY,2023-12-21
IB3665,BHX,DUS,IB,2023-05-01
VS6872,WAW,EZE,VS,2023-05-31
RJ6421,DOH,CWL,RJ,2023-08-05
NK6551,STR,NCL,NK,2023-05-18
SA9064,CDG,ARN,SA,2023-05-04
TU1340,CGK,VIE,TU,2023-10-09
MK6671,LIM,SGN,MK,2023-10-12
AY2432,SAL,IST,AY,2023-12-16
AV9805,ZRH,BHX,AV,2023-06-02
TK1807,BKK,AMS,TK,2023-10-08
AC6684,MXP,LYS,AC,2023-02-06
LA6818,BOD,DUS,LA,2023-11-19
OS987,LIS,OSL,OS,2023-03-19
LO2667,BFS,BER,LO,2023-08-28
VB3873,MAN,BER,VB,2023-10-07
J25545,BKK,PRG,J2,2023-12-23
J23767,BCN,NTE,J2,2023-04-22
B62744,FRA,ATH,B6,2023-07-18
WY1042,DXB,STR,WY,2023-03-25
DT3159,CPT,BOD,DT,2023-04-15
EY2842,BRS,BHX,EY,2023-12-31
CX6421,TLS,BRS,CX,2023-05-01
CA1059,FRA,BKK,CA,2023-01-16
AC9258,CPH,ATH,AC,2023-07-29
AT6241,KIN,DOH,AT,2023-02-05
TU8421,CGK,DFW,TU,2023-06-27
ET4146,SJO,SAL,ET,2023-07-04
PR4658,STR,GVA,PR,2023-06-22
JL3754,YYZ,CPH,JL,2023-10-14
TU2077,PEK,PTY,TU,2023-02-12
TP245,HKG,NCE,TP,2023-11-08
HX6025,GLA,MAN,HX,2023-01-07
KL3664,CWL,LHR,KL,2023-09-05
KE2567,PEK,CDG,KE,2023-04-11
KQ9249,BKK,KIN,KQ,2023-03-31
UL4625,POS,NCE,UL,2023-01-23
B63066,BER,DEN,B6,2023-10-27
SK721,CGN,PRG,SK,2023-06-03
TR5686,MAD,HAM,TR,2023-01-03
QH6499,BCN,CGK,QH,2023-02-11
NZ9856,SAL,EZE,NZ,2023-02-22
AA7105,MEL,ATH,AA,2023-12-06
BT6036,BSB,POS,BT,2023-05-19
TU7290,POS,MEL,TU,2023-05-29
UA1246,BOD,WLG,UA,2023-05-20
UA7240,ATL,SJO,UA,2023-07-16
WN9014,SDQ,KEF,WN,2023-05-11
AT6121,PTY,HND,AT,2023-08-30
PR8487,NAS,ICN,PR,2023-06-25
RO6723,DFW,NCL,RO,2023-12-01
EW9813,POS,WLG,EW,2023-10-22
VN3970,ARN,SGN,VN,2023-05-11
EW5620,NCE,NCL,EW,2023-04-25
JA1210,GLA,WLG,JA,2023-03-13
WN2542,LHR,CDG,WN,2023-11-20
GA5827,CGK,CAI,GA,2023-07-10
DT108,BRU,GVA,DT,2023-09-21
WS4318,AMS,DOH,WS,2023-05-30
CA3501,BRU,KEF,CA,2023-02-16
BT7384,PUJ,SJO,BT,2023-05-14
CX6657,LYS,NAS,CX,2023-06-08
VS908,DOH,POS,VS,2023-08-20
HU4918,CPT,ORD,HU,2023-08-20
AC4601,VIE,DFW,AC,2023-06-04
QR8565,BOM,CAI,QR,2023-09-03
TP2084,PRG,ZRH,TP,2023-06-05
Y41238,MRS,CGK,Y4,2023-02-25
WN3669,LPL,BOD,WN,2023-12-21
HY2876,HND,SDQ,HY,2023-11-30
ME9059,SCL,JNB,ME,2023-10-22
QF3287,BOG,YYZ,QF,2023-08-08
CA6263,GRU,BSL,CA,2023-08-21
LO463,MRS,CPT,LO,2023-06-12
KL5019,LBA,VIE,KL,2023-03-19
ET9837,HAN,ARN,ET,2023-07-16
QH8831,LAX,JNB,QH,2023-08-01
SV9520,BUD,MEX,SV,2023-04-06
EI5673,NTE,ORD,EI,2023-07-05
JU5286,DEN,CHC,JU,2023-01-30
CX4737,SIN,WLG,CX,2023-12-26
KL5794,SAL,PUJ,KL,2023-11-15
TS1084,ICN,CGN,TS,2023-10-19
CA7658,LYS,HAN,CA,2023-02-26
FI7063,CGN,BOM,FI,2023-02-16
AS3753,BOD,CAI,AS,2023-07-16
PR1836,DEL,POS,PR,2023-06-05
ET2845,AKL,KIN,ET,2023-10-08
F97215,MEL,HKG,F9,2023-01-08
SQ6057,MRS,CHC,SQ,2023-02-03
GA8544,SCL,BER,GA,2023-10-10
WN4330,MEX,NCL,WN,2023-05-08
VN2888,HEL,SJO,VN,2023-09-21
AM5105,NCE,YYZ,AM,2023-01-01
EI4939,DUB,MAN,EI,2023-09-13
KL8444,SIN,IST,KL,2023-02-09
MK2735,BSB,SJO,MK,2023-04-03
6E6645,HAV,NBO,6E,2023-07-15
W64818,DUB,DUS,W6,2023-11-12
NK9058,DUB,CDG,NK,2023-08-05
EY2675,CWL,YYZ,EY,2023-02-27
BA5440,NCE,BRU,BA,2023-10-12
KQ7730,MRS,CPH,KQ,2023-08-30
BT9557,TLS,EZE,BT,2023-06-24
BA9889,LYS,HEL,BA,2023-11-08
JL9979,MAD,SGN,JL,2023-09-09
EY9326,MUC,DUS,EY,2023-04-05
TU7286,LBA,MRS,TU,2023-10-30
MH7461,BUD,LHR,MH,2023-10-09
G3131,KIN,PEK,G3,2023-10-12
KU5358,NCE,HAM,KU,2023-11-20
OB1455,BCN,TLS,OB,2023-07-08
W62940,AMS,DXB,W6,2023-10-29
SG1527,TLS,MEX,SG,2023-05-14
FR3557,LYS,KEF,FR,2023-09-15
VY4714,HAN,CAI,VY,2023-06-12
SQ9610,CAI,EZE,SQ,2023-09-12
BT3294,BSL,LHR,BT,2023-09-22
RJ5500,ORD,BER,RJ,2023-07-09
VA8670,MBJ,DEL,VA,2023-09-15
Y42028,BKK,SGN,Y4,2023-02-19
IB6840,BFS,VIE,IB,2023-10-22
WB5733,MEX,JNB,WB,2023-12-29
KC5614,SJO,SGN,KC,2023-02-23
G34716,EZE,WLG,G3,2023-12-17
FZ2926,DFW,SGN,FZ,2023-02-01
OZ3169,MEX,LBA,OZ,2023-09-11
EK3771,LIM,BUD,EK,2023-07-20
SA9142,MEX,ARN,SA,2023-03-26
J24650,IST,PUJ,J2,2023-07-09
SA4876,HKG,OSL,SA,2023-03-04
KU4484,CGK,EZE,KU,2023-06-28
VY2890,HAV,KEF,VY,2023-02-08
EK9191,MAN,CHC,EK,2023-09-08
MU2964,CGN,MEX,MU,2023-09-30
EI1936,BOG,DUB,EI,2023-05-23
F91354,GUA,BRS,F9,2023-09-19
QF1245,ZRH,GLA,QF,2023-06-25
SA9104,TLS,LEJ,SA,2023-05-30
LX3534,BCN,POS,LX,2023-10-09
LA9308,WLG,HAN,LA,2023-08-29
A32878,FCO,SYD,A3,2023-12-19
TK623,ZRH,GVA,TK,2023-07-27
6E7732,BHX,PRG,6E,2023-10-22
CA2682,HEL,NCL,CA,2023-09-03
LO4773,BOG,HAN,LO,2023-10-12
TU6043,BFS,JNB,TU,2023-07-22
DT3489,PTY,NAS,DT,2023-05-17
JA2710,MEX,FRA,JA,2023-04-24
PC6917,MEX,HAV,PC,2023-09-28
EW5555,MRS,KEF,EW,2023-08-12
FR3237,JNB,NCE,FR,2023-10-19
CZ5074,CGK,TLS,CZ,2023-05-02
TR6349,MUC,EDI,TR,2023-02-20
F93825,EZE,PUJ,F9,2023-08-17
Y4988,WAW,AMS,Y4,2023-09-13
U26916,BCN,ATL,U2,2023-11-09
PX9436,BFS,LIM,PX,2023-03-08
AT3220,HND,BCN,AT,2023-03-25
WB559,BCN,BRU,WB,2023-07-06
VY3706,HAN,ICN,VY,2023-08-05
SG3701,MNL,BFS,SG,2023-12-08
BA5671,GLA,BKK,BA,2023-10-28
JL3223,MUC,BSL,JL,2023-05-22
GA3418,BCN,GUA,GA,2023-08-06
TU4437,OSL,MXP,TU,2023-08-04
JU4592,SDQ,DOH,JU,2023-12-30
CZ8764,BSL,DOH,CZ,2023-04-30
TP8057,HAJ,ZRH,TP,2023-08-26
B64904,HAN,STR,B6,2023-02-02
ME8961,EDI,DXB,ME,2023-04-19
OZ1026,PTY,WAW,OZ,2023-01-08
AM8636,ARN,ATL,AM,2023-10-30
KL6650,POS,HAN,KL,2023-03-27
QH2955,CDG,HAM,QH,2023-04-18
VY4755,OSL,EZE,VY,2023-04-16
A35568,HKG,SYD,A3,2023-05-05
AD9224,SYD,DOH,AD,2023-06-08
VY3519,NCE,BHX,VY,2023-06-05
HX6521,HKG,ORD,HX,2023-11-02
G36904,MBJ,CGK,G3,2023-11-12
AY5458,DEN,POS,AY,2023-01-24
LO8515,POS,BOD,LO,2023-04-27
VN2581,KIN,ZRH,VN,2023-04-04
LX4031,BOG,NUE,LX,2023-09-04
SV993,NUE,HKG,SV,2023-05-27
UK4080,CPH,AMS,UK,2023-08-19
MK8117,BOD,NAS,MK,2023-04-01
SQ8275,PEK,BRU,SQ,2023-11-27
PX8526,BUD,HAJ,PX,2023-07-06
AC862,NBO,MAN,AC,2023-11-11
BT9271,BUD,DUB,BT,2023-09-20
AT5173,BOG,IST,AT,2023-11-13
IB669,BKK,WAW,IB,2023-11-16
HX7017,CPT,SJO,HX,2023-12-28
WB2591,NTE,CHC,WB,2023-03-11
BT582,DUS,GIG,BT,2023-02-24
QR876,BSB,MNL,QR,2023-11-27
DL3406,ATH,MAN,DL,2023-10-04
LX8838,BUD,GRU,LX,2023-01-16
AC7222,MEX,AKL,AC,2023-04-08
OZ9384,MBJ,CDG,OZ,2023-08-31
OZ107,LBA,HAN,OZ,2023-04-17
AH7099,DUS,ICN,AH,2023-03-27
AI3090,VIE,SIN,AI,2023-12-15
B69297,LIS,ORD,B6,2023-05-26
OB3479,TLS,WLG,OB,2023-02-17
J22900,ICN,ARN,J2,2023-12-01
VN8755,AKL,GUA,VN,2023-03-19
AA9280,BKK,NTE,AA,2023-05-26
JT5558,MUC,HAN,JT,2023-01-30
B65157,KIN,SYD,B6,2023-04-11
OZ5012,LAX,BOM,OZ,2023-11-05
AM2304,DFW,CGK,AM,2023-05-19
UA1777,SYD,AMS,UA,2023-05-29
OB9090,BSB,MAD,OB,2023-08-05
AT198,MAD,BOD,AT,2023-06-14
SA5056,MEL,CAI,SA,2023-04-11
NH9546,SIN,SCL,NH,2023-05-17
AA3270,DUS,SAL,AA,2023-02-02
LA4128,DUB,MEL,LA,2023-12-09
FI4974,NTE,SJO,FI,2023-07-19
JA6439,NTE,TLS,JA,2023-04-29
QH2833,BFS,BRS,QH,2023-08-03
AM6022,NBO,AMS,AM,2023-09-05
NZ6239,LIS,MEL,NZ,2023-12-18
CZ289,GVA,GLA,CZ,2023-08-23
QR9314,CGK,YYZ,QR,2023-05-03
AA2267,STR,CGK,AA,2023-06-06
WB843,CDG,HAN,WB,2023-04-29
VN4647,BSB,LBA,VN,2023-11-05
EK2252,NBO,BER,EK,2023-06-16
BA7853,BOG,BSB,BA,2023-09-14
TK7371,PUJ,BUD,TK,2023-05-30
WY205,YYZ,GLA,WY,2023-06-19
AC5899,ORD,OSL,AC,2023-08-10
FI3683,CGK,BSL,FI,2023-12-14
LX1261,BHX,BOM,LX,2023-09-16
GF7465,NCE,LPL,GF,2023-04-15
ME4225,ATL,MAN,ME,2023-10-11
FJ7112,CAI,DXB,FJ,2023-04-30
PR2815,LHR,MBJ,PR,2023-02-21
UK2236,HKG,ZRH,UK,2023-03-30
J24915,FCO,NBO,J2,2023-04-02
JA2049,EDI,AKL,JA,2023-01-29
BA8105,GIG,CGK,BA,2023-01-11
HU1450,CHC,NCL,HU,2023-09-02
WB3230,ARN,CPH,WB,2023-09-03
UL4946,MNL,BSB,UL,2023-07-26
MS4056,BCN,PUJ,MS,2023-01-22
QF7688,BER,BUD,QF,2023-12-23
UK7696,GVA,DUB,UK,2023-07-21
SG3992,GRU,DXB,SG,2023-11-18
Y48623,BSB,DEL,Y4,2023-06-16
H23586,HKG,MUC,H2,2023-12-25
GA2631,POS,IST,GA,2023-09-06
OS3153,MEL,GRU,OS,2023-04-04
LO5091,LYS,HND,LO,2023-12-15
SV6492,POS,BOD,SV,2023-10-13
OB9465,SGN,ATH,OB,2023-01-10
VY1735,CDG,BOM,VY,2023-03-07
TU5933,BSB,ZRH,TU,2023-04-28
VN4983,CWL,SAL,VN,2023-11-04
MH5908,ATL,DEL,MH,2023-01-05
LH5888,MAD,LIM,LH,2023-08-07
W66664,ATH,SYD,W6,2023-06-29
AD7094,CWL,SJO,AD,2023-10-14
AM8329,FRA,ZRH,AM,2023-04-30
SK4709,NCE,MRS,SK,2023-06-07
WS8574,FCO,YYZ,WS,2023-01-07
JT5451,CWL,LBA,JT,2023-03-21
AC7514,BFS,OSL,AC,2023-02-04
GF8600,DUB,MAN,GF,2023-11-04
WN9118,ATH,CPH,WN,2023-04-17
SQ6077,OSL,FRA,SQ,2023-06-05
SA5674,MAN,IST,SA,2023-10-29
AY8617,DUS,LAX,AY,2023-12-02
PC4392,BCN,MBJ,PC,2023-09-21
HY3434,MBJ,LEJ,HY,2023-07-20
TK405,AKL,CPH,TK,2023-04-10
EK1525,MEL,POS,EK,2023-11-13
FJ1831,DUS,DEL,FJ,2023-07-07
FJ9922,LHR,OSL,FJ,2023-11-16
G32073,MEX,NCE,G3,2023-10-21
KQ6023,POS,MEL,KQ,2023-02-01
AD6916,MEL,BOM,AD,2023-08-24
EI6051,NAS,STR,EI,2023-09-04
PR3192,GUA,LIM,PR,2023-09-23
SG166,YYZ,DEL,SG,2023-03-20
AH6344,ATH,JNB,AH,2023-10-09
G36168,HND,NCE,G3,2023-12-18
JA3061,HAV,GVA,JA,2023-08-13
FJ1473,GVA,NCL,FJ,2023-12-06
TG150,NBO,KEF,TG,2023-07-31
AF7847,AMS,POS,AF,2023-09-26
AM2618,BCN,MEX,AM,2023-11-06
AS5920,BRS,HAM,AS,2023-11-08
G36934,POS,NAS,G3,2023-12-15
QH1833,DXB,CPT,QH,2023-02-19
EW6693,GUA,KIN,EW,2023-07-22
VB8996,BUD,DEL,VB,2023-12-19
KQ5955,CWL,BER,KQ,2023-09-14
WB1767,STR,LHR,WB,2023-10-21
LH3144,TLS,FRA,LH,2023-01-03
VN7127,DEL,MUC,VN,2023-08-28
NZ8274,VIE,SDQ,NZ,2023-05-12
LO4166,MAD,HAM,LO,2023-03-29
UK6911,CGK,DEN,UK,2023-04-26
CX6188,FCO,LHR,CX,2023-08-19
EW6480,CGK,BFS,EW,2023-02-21
LA6162,POS,ORD,LA,2023-03-24
MK5763,VIE,BOG,MK,2023-04-11
QH5050,POS,MNL,QH,2023-12-03
CZ2414,MUC,YYZ,CZ,2023-09-30
CX4618,CPT,BER,CX,2023-01-28
FR3209,BUD,ARN,FR,2023-09-14
TG9482,NAS,NTE,TG,2023-02-19
NH2685,SJO,CAI,NH,2023-06-09
KE2163,BSL,CHC,KE,2023-04-08
RO1561,NAS,NCL,RO,2023-12-08
W69626,ZRH,HKG,W6,2023-10-20
B61630,BSB,PRG,B6,2023-10-07
TS9887,KEF,ARN,TS,2023-12-25
TS9262,ATL,PRG,TS,2023-03-26
TP9711,LPL,HKG,TP,2023-07-31
SA1447,ARN,GUA,SA,2023-05-07
EY6232,BOD,DUB,EY,2023-02-19
CA3697,ZRH,SYD,CA,2023-10-26
MU9259,WAW,PRG,MU,2023-01-14
RO5919,NUE,EDI,RO,2023-10-30
SV7720,SDQ,HAV,SV,2023-03-17
FI677,PUJ,BOG,FI,2023-07-22
GA7661,BRU,DOH,GA,2023-12-12
SA7292,CAI,TLS,SA,2023-07-04
AM9501,YYZ,AMS,AM,2023-07-24
G37899,NUE,DFW,G3,2023-06-21
AV6968,PRG,PEK,AV,2023-10-19
AI3683,BSB,SDQ,AI,2023-05-18
WN455,HAN,LPL,WN,2023-06-15
KQ9751,HEL,PRG,KQ,2023-09-27
DT512,BOD,DUS,DT,2023-07-07
UK787,DUB,AKL,UK,2023-11-30
TS8211,BOD,BUD,TS,2023-10-19
RJ4861,DEN,BER,RJ,2023-12-12
FI4791,ORD,BCN,FI,2023-11-26
KE806,MBJ,VIE,KE,2023-06-10
AA6541,FCO,BER,AA,2023-06-03
AM3375,HKG,MXP,AM,2023-12-06
QR4919,ATL,BHX,QR,2023-11-17
H29778,CAI,HAJ,H2,2023-01-25
GF6783,ATH,MRS,GF,2023-12-01
J27294,NTE,SDQ,J2,2023-04-03
BA6552,SAL,DFW,BA,2023-08-28
SV7821,LIM,SAL,SV,2023-11-19
CZ5636,STR,BCN,CZ,2023-12-20
TR1867,LAX,FCO,TR,2023-08-04
KM601,MUC,MAD,KM,2023-07-07
PC4846,ORD,NAS,PC,2023-06-26
SQ5285,HAM,NAS,SQ,2023-10-17
LA1069,BSL,CPT,LA,2023-08-14
OZ1073,ATH,AKL,OZ,2023-02-25
IB6615,BCN,BFS,IB,2023-09-03
QF2385,ARN,BKK,QF,2023-08-09
UK4981,SJO,GUA,UK,2023-08-06
