baggage_code,type,colour,brand
22D,Upright design combined hard and soft material,Grey,Briggs & Riley
25,Duffel/Sport Bag,Grey,American Tourister
25,Duffel/Sport Bag,Yellow,Briggs & Riley
22R,Upright design hard material,Green,Briggs & Riley
22R,Upright design hard material,Blue,Travelpro
03,Horizontal design suitcase Non-expandable,Multi-Coloured,Briggs & Riley
22,"Upright design, soft material",Red,Travelpro
07,Document Case,Green,Travelpro
22R,Upright design hard material,Blue,American Tourister
06,Briefcase,Multi-Coloured,Delsey
03,Horizontal design suitcase Non-expandable,Blue,Briggs & Riley
01,Horizontal design Hard Shell,Multi-Coloured,Victorinox
26,Expandable upright,White/Clear,Travelpro
29,Lap Top/Overnight bag,Blue,Victorinox
03,Horizontal design suitcase Non-expandable,Yellow,Delsey
26,Expandable upright,Purple,American Tourister
07,Document Case,Yellow,Victorinox
01,Horizontal design Hard Shell,Purple,Victorinox
07,Document Case,Beige,Tumi
07,Document Case,Grey,Samsonite
25,Duffel/Sport Bag,Black,Tumi
29,Lap Top/Overnight bag,Yellow,American Tourister
26,Expandable upright,Red,Samsonite
03,Horizontal design suitcase Non-expandable,Multi-Coloured,Delsey
03,Horizontal design suitcase Non-expandable,Blue,Victorinox
23,Horizontal design suitcase,Grey,American Tourister
05,Horizontal design suitcase Expandable,Grey,Briggs & Riley
05,Horizontal design suitcase Expandable,Yellow,Delsey
26,Expandable upright,Red,Briggs & Riley
25,Duffel/Sport Bag,Multi-Coloured,Tumi
22R,Upright design hard material,Grey,American Tourister
23,Horizontal design suitcase,White/Clear,Tumi
02,Upright design,Beige,Briggs & Riley
26,Expandable upright,Grey,Samsonite
22D,Upright design combined hard and soft material,Grey,American Tourister
20,Closes with zippers Types 20-29,Purple,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Black,Tumi
22R,Upright design hard material,Multi-Coloured,American Tourister
26,Expandable upright,Green,Delsey
03,Horizontal design suitcase Non-expandable,Purple,Tumi
29,Lap Top/Overnight bag,Black,Samsonite
22,"Upright design, soft material",Purple,Samsonite
05,Horizontal design suitcase Expandable,Black,Tumi
28,Backpack/Rucksack,Red,Delsey
22R,Upright design hard material,Yellow,Delsey
20,Closes with zippers Types 20-29,Red,American Tourister
20,Closes with zippers Types 20-29,Grey,American Tourister
26,Expandable upright,Brown,Delsey
01,Horizontal design Hard Shell,Grey,Briggs & Riley
25,Duffel/Sport Bag,Red,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Black,Victorinox
29,Lap Top/Overnight bag,Red,Tumi
27,Matted woven bag,Grey,Tumi
07,Document Case,Black,Samsonite
01,Horizontal design Hard Shell,Brown,Travelpro
25,Duffel/Sport Bag,Pattern,Victorinox
06,Briefcase,Black,American Tourister
22D,Upright design combined hard and soft material,Multi-Coloured,Travelpro
07,Document Case,Pattern,Travelpro
27,Matted woven bag,Yellow,American Tourister
02,Upright design,Blue,American Tourister
22,"Upright design, soft material",Black,Travelpro
28,Backpack/Rucksack,Black,Travelpro
22R,Upright design hard material,Yellow,Delsey
26,Expandable upright,Purple,Travelpro
06,Briefcase,Grey,American Tourister
23,Horizontal design suitcase,Pattern,Tumi
23,Horizontal design suitcase,Yellow,Victorinox
20,Closes with zippers Types 20-29,White/Clear,Travelpro
25,Duffel/Sport Bag,Red,Tumi
23,Horizontal design suitcase,Grey,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Purple,Delsey
07,Document Case,Yellow,Samsonite
01,Horizontal design Hard Shell,Beige,Briggs & Riley
22R,Upright design hard material,Pattern,Travelpro
28,Backpack/Rucksack,White/Clear,Travelpro
25,Duffel/Sport Bag,White/Clear,Victorinox
05,Horizontal design suitcase Expandable,Purple,Samsonite
20,Closes with zippers Types 20-29,Green,Briggs & Riley
06,Briefcase,Brown,Delsey
03,Horizontal design suitcase Non-expandable,Black,Travelpro
01,Horizontal design Hard Shell,Yellow,Tumi
22,"Upright design, soft material",Pattern,Tumi
01,Horizontal design Hard Shell,Yellow,Tumi
22D,Upright design combined hard and soft material,Blue,Tumi
26,Expandable upright,Grey,Travelpro
22D,Upright design combined hard and soft material,Green,Tumi
27,Matted woven bag,Green,Travelpro
07,Document Case,Yellow,Samsonite
27,Matted woven bag,Brown,Samsonite
20,Closes with zippers Types 20-29,Blue,American Tourister
20,Closes with zippers Types 20-29,Black,Tumi
02,Upright design,Brown,Samsonite
22R,Upright design hard material,Blue,Tumi
07,Document Case,Multi-Coloured,Travelpro
06,Briefcase,Green,Samsonite
28,Backpack/Rucksack,Beige,Delsey
22R,Upright design hard material,Yellow,Tumi
23,Horizontal design suitcase,Blue,Samsonite
05,Horizontal design suitcase Expandable,Grey,Victorinox
26,Expandable upright,Grey,Travelpro
22D,Upright design combined hard and soft material,Brown,American Tourister
20,Closes with zippers Types 20-29,Green,Victorinox
02,Upright design,Green,American Tourister
20,Closes with zippers Types 20-29,Pattern,Travelpro
25,Duffel/Sport Bag,Brown,Samsonite
05,Horizontal design suitcase Expandable,Pattern,American Tourister
07,Document Case,Yellow,Travelpro
29,Lap Top/Overnight bag,Multi-Coloured,Briggs & Riley
22R,Upright design hard material,Yellow,Samsonite
22,"Upright design, soft material",Yellow,American Tourister
02,Upright design,Pattern,Victorinox
25,Duffel/Sport Bag,Pattern,Delsey
28,Backpack/Rucksack,Pattern,Travelpro
05,Horizontal design suitcase Expandable,Black,Samsonite
27,Matted woven bag,Pattern,American Tourister
26,Expandable upright,Pattern,Tumi
25,Duffel/Sport Bag,Yellow,Victorinox
29,Lap Top/Overnight bag,Red,Victorinox
03,Horizontal design suitcase Non-expandable,Pattern,Delsey
20,Closes with zippers Types 20-29,Red,Tumi
25,Duffel/Sport Bag,Blue,Briggs & Riley
26,Expandable upright,Purple,Travelpro
06,Briefcase,Black,Tumi
29,Lap Top/Overnight bag,Red,Tumi
01,Horizontal design Hard Shell,Brown,Tumi
22R,Upright design hard material,Beige,Victorinox
20,Closes with zippers Types 20-29,Multi-Coloured,Delsey
22R,Upright design hard material,Green,Briggs & Riley
01,Horizontal design Hard Shell,Green,Victorinox
03,Horizontal design suitcase Non-expandable,Grey,Samsonite
22R,Upright design hard material,Pattern,Delsey
06,Briefcase,White/Clear,Tumi
27,Matted woven bag,White/Clear,Tumi
02,Upright design,Multi-Coloured,Delsey
03,Horizontal design suitcase Non-expandable,Black,Tumi
05,Horizontal design suitcase Expandable,Black,Briggs & Riley
22,"Upright design, soft material",Grey,Travelpro
06,Briefcase,Black,Victorinox
02,Upright design,Green,Travelpro
28,Backpack/Rucksack,Red,Delsey
03,Horizontal design suitcase Non-expandable,Grey,Delsey
20,Closes with zippers Types 20-29,White/Clear,Delsey
01,Horizontal design Hard Shell,Blue,American Tourister
20,Closes with zippers Types 20-29,Beige,Travelpro
25,Duffel/Sport Bag,Grey,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Multi-Coloured,Samsonite
25,Duffel/Sport Bag,White/Clear,Victorinox
29,Lap Top/Overnight bag,Brown,Samsonite
03,Horizontal design suitcase Non-expandable,Beige,Travelpro
27,Matted woven bag,Yellow,Tumi
22,"Upright design, soft material",Black,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Blue,American Tourister
23,Horizontal design suitcase,Pattern,Samsonite
26,Expandable upright,Green,American Tourister
28,Backpack/Rucksack,Brown,Delsey
20,Closes with zippers Types 20-29,Green,Samsonite
29,Lap Top/Overnight bag,Black,American Tourister
22D,Upright design combined hard and soft material,Multi-Coloured,Delsey
26,Expandable upright,Yellow,Travelpro
27,Matted woven bag,White/Clear,Travelpro
29,Lap Top/Overnight bag,Beige,Tumi
06,Briefcase,Yellow,Travelpro
07,Document Case,Purple,Briggs & Riley
29,Lap Top/Overnight bag,Brown,Briggs & Riley
07,Document Case,Pattern,Delsey
28,Backpack/Rucksack,Grey,American Tourister
22,"Upright design, soft material",Grey,Samsonite
22R,Upright design hard material,Blue,Victorinox
03,Horizontal design suitcase Non-expandable,Yellow,Tumi
05,Horizontal design suitcase Expandable,Blue,American Tourister
25,Duffel/Sport Bag,Beige,American Tourister
05,Horizontal design suitcase Expandable,Blue,Briggs & Riley
26,Expandable upright,Red,Delsey
22R,Upright design hard material,Red,Samsonite
25,Duffel/Sport Bag,Black,Tumi
20,Closes with zippers Types 20-29,Multi-Coloured,Briggs & Riley
20,Closes with zippers Types 20-29,Beige,Tumi
02,Upright design,Beige,American Tourister
27,Matted woven bag,Multi-Coloured,Delsey
28,Backpack/Rucksack,Purple,Delsey
07,Document Case,Grey,Delsey
23,Horizontal design suitcase,Yellow,Travelpro
05,Horizontal design suitcase Expandable,Red,Delsey
02,Upright design,Yellow,Travelpro
02,Upright design,Pattern,American Tourister
26,Expandable upright,Grey,American Tourister
22,"Upright design, soft material",White/Clear,Delsey
07,Document Case,White/Clear,Victorinox
28,Backpack/Rucksack,Yellow,Travelpro
28,Backpack/Rucksack,Multi-Coloured,Victorinox
07,Document Case,Blue,Victorinox
01,Horizontal design Hard Shell,Purple,American Tourister
22D,Upright design combined hard and soft material,Beige,Travelpro
22D,Upright design combined hard and soft material,White/Clear,Delsey
22D,Upright design combined hard and soft material,Yellow,American Tourister
20,Closes with zippers Types 20-29,White/Clear,Tumi
20,Closes with zippers Types 20-29,Blue,Briggs & Riley
22R,Upright design hard material,Grey,Tumi
05,Horizontal design suitcase Expandable,Red,American Tourister
22,"Upright design, soft material",Green,Samsonite
07,Document Case,Brown,Samsonite
26,Expandable upright,Red,American Tourister
05,Horizontal design suitcase Expandable,Blue,Travelpro
28,Backpack/Rucksack,Pattern,Travelpro
27,Matted woven bag,Pattern,Delsey
26,Expandable upright,Yellow,Briggs & Riley
05,Horizontal design suitcase Expandable,Beige,Travelpro
28,Backpack/Rucksack,Yellow,Victorinox
25,Duffel/Sport Bag,Blue,American Tourister
25,Duffel/Sport Bag,Black,Victorinox
22R,Upright design hard material,Red,Samsonite
01,Horizontal design Hard Shell,Beige,Delsey
27,Matted woven bag,Multi-Coloured,American Tourister
