baggage_code,type,colour,brand
28,Backpack/Rucksack,Beige,American Tourister
22D,Upright design combined hard and soft material,Purple,Victorinox
05,Horizontal design suitcase Expandable,Pattern,Tumi
03,Horizontal design suitcase Non-expandable,Yellow,Travelpro
22D,Upright design combined hard and soft material,Beige,Travelpro
03,Horizontal design suitcase Non-expandable,Red,Samsonite
22,"Upright design, soft material",Black,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Blue,American Tourister
22,"Upright design, soft material",Purple,Delsey
07,Document Case,Grey,Samsonite
06,Briefcase,Yellow,Delsey
29,Lap Top/Overnight bag,Pattern,Travelpro
02,Upright design,Multi-Coloured,Tumi
23,Horizontal design suitcase,Brown,American Tourister
29,Lap Top/Overnight bag,Beige,Victorinox
22,"Upright design, soft material",White/Clear,Delsey
23,Horizontal design suitcase,Brown,Tumi
06,Briefcase,Red,American Tourister
22D,Upright design combined hard and soft material,Beige,Samsonite
22R,Upright design hard material,Yellow,Delsey
20,Closes with zippers Types 20-29,Green,Briggs & Riley
01,Horizontal design Hard Shell,Brown,Delsey
25,Duffel/Sport Bag,Pattern,Victorinox
22D,Upright design combined hard and soft material,Grey,Delsey
20,Closes with zippers Types 20-29,Multi-Coloured,Delsey
03,Horizontal design suitcase Non-expandable,Black,Delsey
03,Horizontal design suitcase Non-expandable,Purple,Travelpro
05,Horizontal design suitcase Expandable,Green,Briggs & Riley
28,Backpack/Rucksack,Pattern,Tumi
22D,Upright design combined hard and soft material,White/Clear,American Tourister
03,Horizontal design suitcase Non-expandable,Purple,Tumi
01,Horizontal design Hard Shell,Yellow,Tumi
26,Expandable upright,Pattern,Victorinox
03,Horizontal design suitcase Non-expandable,White/Clear,Delsey
06,Briefcase,White/Clear,Victorinox
27,Matted woven bag,Blue,Briggs & Riley
22,"Upright design, soft material",Multi-Coloured,American Tourister
26,Expandable upright,Beige,Samsonite
01,Horizontal design Hard Shell,Green,Victorinox
22D,Upright design combined hard and soft material,Beige,Tumi
29,Lap Top/Overnight bag,Red,Tumi
29,Lap Top/Overnight bag,White/Clear,Tumi
22D,Upright design combined hard and soft material,Multi-Coloured,American Tourister
22R,Upright design hard material,Grey,Samsonite
22D,Upright design combined hard and soft material,White/Clear,Briggs & Riley
01,Horizontal design Hard Shell,Brown,Tumi
22R,Upright design hard material,Multi-Coloured,Briggs & Riley
22,"Upright design, soft material",Red,Samsonite
07,Document Case,Green,Tumi
23,Horizontal design suitcase,Beige,Tumi
20,Closes with zippers Types 20-29,Green,American Tourister
25,Duffel/Sport Bag,Yellow,Samsonite
25,Duffel/Sport Bag,Yellow,Delsey
29,Lap Top/Overnight bag,Purple,Samsonite
20,Closes with zippers Types 20-29,Yellow,Victorinox
01,Horizontal design Hard Shell,Yellow,American Tourister
01,Horizontal design Hard Shell,Black,Samsonite
25,Duffel/Sport Bag,Pattern,Victorinox
28,Backpack/Rucksack,White/Clear,Victorinox
06,Briefcase,Brown,Victorinox
01,Horizontal design Hard Shell,Yellow,American Tourister
28,Backpack/Rucksack,Blue,Travelpro
23,Horizontal design suitcase,Green,Travelpro
20,Closes with zippers Types 20-29,Purple,Victorinox
01,Horizontal design Hard Shell,Green,American Tourister
28,Backpack/Rucksack,Yellow,American Tourister
26,Expandable upright,Green,Delsey
22,"Upright design, soft material",Green,Samsonite
03,Horizontal design suitcase Non-expandable,Grey,Tumi
20,Closes with zippers Types 20-29,Beige,Victorinox
26,Expandable upright,Red,Tumi
26,Expandable upright,Red,Tumi
20,Closes with zippers Types 20-29,Black,Delsey
27,Matted woven bag,Green,Delsey
23,Horizontal design suitcase,Beige,Delsey
22D,Upright design combined hard and soft material,Green,Samsonite
22R,Upright design hard material,Black,Delsey
06,Briefcase,Blue,Tumi
22R,Upright design hard material,White/Clear,Victorinox
05,Horizontal design suitcase Expandable,Purple,Samsonite
01,Horizontal design Hard Shell,Beige,American Tourister
29,Lap Top/Overnight bag,Beige,Samsonite
05,Horizontal design suitcase Expandable,Brown,Tumi
29,Lap Top/Overnight bag,Blue,Delsey
22R,Upright design hard material,Brown,Tumi
05,Horizontal design suitcase Expandable,White/Clear,Samsonite
26,Expandable upright,White/Clear,Samsonite
02,Upright design,Red,American Tourister
06,Briefcase,Green,Briggs & Riley
25,Duffel/Sport Bag,Red,American Tourister
22R,Upright design hard material,Brown,Travelpro
23,Horizontal design suitcase,Green,Victorinox
20,Closes with zippers Types 20-29,Beige,Tumi
29,Lap Top/Overnight bag,White/Clear,Samsonite
27,Matted woven bag,Red,Delsey
22R,Upright design hard material,Green,Briggs & Riley
22R,Upright design hard material,Yellow,Travelpro
06,Briefcase,Grey,Victorinox
26,Expandable upright,Grey,Samsonite
23,Horizontal design suitcase,Black,Tumi
03,Horizontal design suitcase Non-expandable,Multi-Coloured,Victorinox
27,Matted woven bag,Grey,Tumi
07,Document Case,Multi-Coloured,American Tourister
05,Horizontal design suitcase Expandable,Green,American Tourister
29,Lap Top/Overnight bag,Yellow,Samsonite
20,Closes with zippers Types 20-29,Pattern,Victorinox
22R,Upright design hard material,Brown,American Tourister
02,Upright design,Multi-Coloured,Samsonite
20,Closes with zippers Types 20-29,White/Clear,Samsonite
03,Horizontal design suitcase Non-expandable,Red,Tumi
01,Horizontal design Hard Shell,Green,Delsey
06,Briefcase,Red,American Tourister
05,Horizontal design suitcase Expandable,Beige,Victorinox
01,Horizontal design Hard Shell,Pattern,Samsonite
07,Document Case,Beige,Tumi
20,Closes with zippers Types 20-29,Beige,Briggs & Riley
22D,Upright design combined hard and soft material,Pattern,Samsonite
29,Lap Top/Overnight bag,Black,Travelpro
27,Matted woven bag,Blue,Travelpro
20,Closes with zippers Types 20-29,Yellow,American Tourister
26,Expandable upright,Grey,Tumi
25,Duffel/Sport Bag,Grey,Delsey
03,Horizontal design suitcase Non-expandable,Brown,Samsonite
01,Horizontal design Hard Shell,Black,Victorinox
22,"Upright design, soft material",Black,Samsonite
27,Matted woven bag,White/Clear,Samsonite
23,Horizontal design suitcase,Beige,Victorinox
03,Horizontal design suitcase Non-expandable,Multi-Coloured,Briggs & Riley
20,Closes with zippers Types 20-29,Black,Tumi
20,Closes with zippers Types 20-29,Pattern,Briggs & Riley
20,Closes with zippers Types 20-29,Pattern,American Tourister
23,Horizontal design suitcase,Green,Briggs & Riley
26,Expandable upright,Purple,Victorinox
29,Lap Top/Overnight bag,Blue,Briggs & Riley
05,Horizontal design suitcase Expandable,Purple,Samsonite
29,Lap Top/Overnight bag,Beige,Victorinox
23,Horizontal design suitcase,Black,Victorinox
22,"Upright design, soft material",Beige,Victorinox
02,Upright design,Yellow,Delsey
02,Upright design,Beige,Travelpro
01,Horizontal design Hard Shell,Purple,Travelpro
06,Briefcase,Yellow,Tumi
22,"Upright design, soft material",Purple,Briggs & Riley
23,Horizontal design suitcase,Brown,Travelpro
26,Expandable upright,Multi-Coloured,Samsonite
02,Upright design,Black,Tumi
27,Matted woven bag,Black,Tumi
01,Horizontal design Hard Shell,Purple,Samsonite
22R,Upright design hard material,Pattern,Samsonite
27,Matted woven bag,Purple,Delsey
07,Document Case,Red,Briggs & Riley
23,Horizontal design suitcase,Multi-Coloured,Tumi
02,Upright design,Black,Samsonite
01,Horizontal design Hard Shell,Grey,Victorinox
03,Horizontal design suitcase Non-expandable,Blue,Briggs & Riley
07,Document Case,Beige,Travelpro
05,Horizontal design suitcase Expandable,Red,Victorinox
02,Upright design,Brown,Travelpro
22,"Upright design, soft material",Blue,Delsey
20,Closes with zippers Types 20-29,Purple,American Tourister
27,Matted woven bag,Yellow,Travelpro
01,Horizontal design Hard Shell,Beige,Tumi
02,Upright design,Beige,Travelpro
03,Horizontal design suitcase Non-expandable,Yellow,Samsonite
03,Horizontal design suitcase Non-expandable,Red,Delsey
22R,Upright design hard material,Black,Briggs & Riley
01,Horizontal design Hard Shell,Pattern,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Green,Victorinox
03,Horizontal design suitcase Non-expandable,Red,Samsonite
29,Lap Top/Overnight bag,Multi-Coloured,Samsonite
22D,Upright design combined hard and soft material,Grey,Samsonite
25,Duffel/Sport Bag,Green,Tumi
22,"Upright design, soft material",Pattern,Samsonite
28,Backpack/Rucksack,Black,American Tourister
25,Duffel/Sport Bag,Grey,Delsey
23,Horizontal design suitcase,Black,Travelpro
02,Upright design,Green,Delsey
25,Duffel/Sport Bag,Grey,Briggs & Riley
26,Expandable upright,Blue,Briggs & Riley
20,Closes with zippers Types 20-29,Blue,Tumi
01,Horizontal design Hard Shell,Blue,Briggs & Riley
20,Closes with zippers Types 20-29,Pattern,American Tourister
27,Matted woven bag,Yellow,Travelpro
22R,Upright design hard material,Pattern,Tumi
25,Duffel/Sport Bag,Beige,American Tourister
01,Horizontal design Hard Shell,Green,Briggs & Riley
26,Expandable upright,Pattern,Tumi
27,Matted woven bag,Brown,Tumi
27,Matted woven bag,Purple,Briggs & Riley
22,"Upright design, soft material",Red,Victorinox
03,Horizontal design suitcase Non-expandable,White/Clear,Victorinox
01,Horizontal design Hard Shell,Purple,Briggs & Riley
05,Horizontal design suitcase Expandable,Black,Delsey
27,Matted woven bag,Pattern,Delsey
25,Duffel/Sport Bag,Beige,Victorinox
20,Closes with zippers Types 20-29,Yellow,Briggs & Riley
22,"Upright design, soft material",Beige,Travelpro
02,Upright design,Beige,Samsonite
01,Horizontal design Hard Shell,Black,Briggs & Riley
23,Horizontal design suitcase,Blue,Victorinox
23,Horizontal design suitcase,Purple,Tumi
22D,Upright design combined hard and soft material,Yellow,Delsey
22D,Upright design combined hard and soft material,Green,Briggs & Riley
27,Matted woven bag,White/Clear,Samsonite
03,Horizontal design suitcase Non-expandable,Beige,Delsey
29,Lap Top/Overnight bag,Purple,American Tourister
22,"Upright design, soft material",Red,Briggs & Riley
28,Backpack/Rucksack,Red,Samsonite
27,Matted woven bag,Pattern,Delsey
03,Horizontal design suitcase Non-expandable,White/Clear,Victorinox
26,Expandable upright,Red,Samsonite
29,Lap Top/Overnight bag,Red,Victorinox
05,Horizontal design suitcase Expandable,Yellow,Travelpro
28,Backpack/Rucksack,Purple,Samsonite
28,Backpack/Rucksack,Green,Travelpro
02,Upright design,Green,Samsonite
22R,Upright design hard material,Pattern,Victorinox
06,Briefcase,Purple,American Tourister
29,Lap Top/Overnight bag,Green,Briggs & Riley
03,Horizontal design suitcase Non-expandable,Black,Delsey
29,Lap Top/Overnight bag,Black,American Tourister
28,Backpack/Rucksack,Blue,Samsonite
26,Expandable upright,Pattern,Delsey
01,Horizontal design Hard Shell,Yellow,Delsey
26,Expandable upright,Yellow,Travelpro
27,Matted woven bag,Pattern,Tumi
27,Matted woven bag,Blue,Delsey
